"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
04000,ARKANSAS                 ,ARKANSAS               ,718,"2,541,443",294.97,"2,253,611",261.56,"39,792","227,904","20,135",652,"2,843,726",363.46,0.907,,,,,,
04010,ARKANSAS                 ,ASHLEY                 ,948,"2,393,460",210.40,"2,163,210",190.16,"48,856","161,082","20,310",869,"3,725,178",357.23,0.963,,,,,,
04020,ARKANSAS                 ,BAXTER                 ,"1,729","4,269,935",205.80,"3,949,238",190.34,"58,108","236,002","26,586","1,572","6,079,188",322.26,0.935,,,,,,
04030,ARKANSAS                 ,BENTON                 ,"3,502","9,556,505",227.41,"8,779,467",208.92,"134,820","591,008","51,207","2,938","11,592,854",328.82,0.931,,,,,,
04040,ARKANSAS                 ,BOONE                  ,"1,758","4,785,320",226.84,"4,253,625",201.63,"75,358","423,431","32,905","1,571","6,101,591",323.66,0.924,,,,,,
04050,ARKANSAS                 ,BRADLEY                ,531,"2,099,620",329.51,"1,960,879",307.73,"20,205","102,451","16,083",496,"2,209,144",371.16,1.038,,,,,,
04060,ARKANSAS                 ,CALHOUN                ,221,"422,865",159.45,"378,513",142.73,"7,911","32,140","4,298",201,"954,990",395.93,1.023,,,,,,
04070,ARKANSAS                 ,CARROLL                ,820,"2,368,909",240.74,"2,222,043",225.82,"28,013","107,343","11,508",713,"2,634,704",307.94,0.840,,,,,,
04080,ARKANSAS                 ,CHICOT                 ,575,"1,568,422",227.31,"1,435,042",207.98,"17,532","106,410","9,437",544,"1,830,773",280.45,0.959,,,,,,
04090,ARKANSAS                 ,CLARK                  ,697,"1,964,360",234.86,"1,768,554",211.45,"43,752","133,880","18,173",627,"2,045,127",271.81,0.963,,,,,,
04100,ARKANSAS                 ,CLAY                   ,750,"2,184,088",242.68,"1,915,055",212.78,"24,179","236,620","8,231",670,"2,568,440",319.46,0.929,,,,,,
04110,ARKANSAS                 ,CLEBURNE               ,"1,071","4,036,379",314.07,"3,654,700",284.37,"55,874","299,201","26,604",970,"4,148,002",356.36,0.901,,,,,,
