AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
05570,CALIFORNIA               ,SISKIYOU,"55,059","32,806","11,469","37,483","62,387"
05580,CALIFORNIA               ,SOLANO,"369,813","399,229","384,140","198,948","291,517"
05590,CALIFORNIA               ,SONOMA,"847,400","843,233","701,857","383,257","475,510"
05600,CALIFORNIA               ,STANISLAUS,"812,205","574,244","720,505","521,430","743,161"
05610,CALIFORNIA               ,SUTTER,"223,570","-19,675","-51,759","-33,639","208,773"
05620,CALIFORNIA               ,TEHAMA,"289,332","165,885","143,438","46,200","25,182"
05630,CALIFORNIA               ,TRINITY,"67,375","44,788","49,680","14,702","14,194"
05640,CALIFORNIA               ,TULARE,"828,472","372,800","391,391","379,341","739,284"
05650,CALIFORNIA               ,TUOLUMNE,"512,292","337,672","399,241","310,399","417,959"
05660,CALIFORNIA               ,VENTURA,"1,447,338","1,025,152","455,780","1,098,797","962,620"
05670,CALIFORNIA               ,YOLO,"270,140","228,737","270,752","150,463","199,296"
05680,CALIFORNIA               ,YUBA,"165,030","2,540","-17,071","-21,490","137,762"
06000,COLORADO                 ,ADAMS,"-143,022","-80,263","-86,300","-142,962","-132,574"
06010,COLORADO                 ,ALAMOSA,"26,611","21,638","8,526","15,058","11,871"
06020,COLORADO                 ,ARAPAHOE,"-296,131","-164,269","-226,037","-315,068","-292,192"
06030,COLORADO                 ,ARCHULETA,"23,687","19,219","14,208","12,736","13,470"
06040,COLORADO                 ,BACA,"4,911","4,382","2,486","4,953","5,553"
06050,COLORADO                 ,BENT,"13,561","12,805","4,711","6,776","4,998"
06060,COLORADO                 ,BOULDER,"-85,410","-40,406","-26,903","-47,823","-39,022"
06070,COLORADO                 ,CHAFFEE,"13,888","16,034","2,570","-1,346","-3,348"
06080,COLORADO                 ,CHEYENNE,"10,617","8,812","4,013","5,058","3,155"
06090,COLORADO                 ,CLEAR CREEK,"-3,251","-1,341","-1,634","-3,377","-3,519"
06100,COLORADO                 ,CONEJOS,"19,013","11,920","1,229","7,739","7,319"
06110,COLORADO                 ,COSTILLA,"12,693","10,274","2,957","5,276","5,876"
06120,COLORADO                 ,CROWLEY,"8,838","6,628","2,846","4,628","4,394"
06130,COLORADO                 ,CUSTER,"6,089","6,051","2,497","2,708","3,612"
06140,COLORADO                 ,DELTA,"99,334","79,860","51,140","46,023","35,508"
06150,COLORADO                 ,DENVER,"-315,789","-166,681","-177,693","-288,396","-280,268"
06160,COLORADO                 ,DOLORES,"5,086","5,019","1,349","2,032","1,147"
06170,COLORADO                 ,DOUGLAS,"-49,239","-29,179","-43,567","-59,024","-60,264"
06180,COLORADO                 ,EAGLE,"-11,159","-14,134","-18,918","-19,072","-17,207"
06190,COLORADO                 ,ELBERT,"-3,590","-1,321","-6,255","-6,038","-5,258"
06200,COLORADO                 ,EL PASO,"553,544","499,101","70,818","144,756","194,500"
06210,COLORADO                 ,FREMONT,"122,656","88,378","43,043","51,479","49,588"
06220,COLORADO                 ,GARFIELD,"-4,341","-25,550","-45,571","-51,261","-13,284"
06230,COLORADO                 ,GILPIN,-751,-600,-839,"-1,624","-1,056"
06240,COLORADO                 ,GRAND,418,"1,122","-2,345","-4,894","-3,885"
06250,COLORADO                 ,GUNNISON,"3,293","4,243","1,979",-8,"1,665"
06260,COLORADO                 ,HINSDALE,823,587,605,870,-23
06270,COLORADO                 ,HUERFANO,"11,750","8,697","3,224","7,047","5,018"
06280,COLORADO                 ,JACKSON,"2,537","3,183","1,216","2,200","1,502"
06290,COLORADO                 ,JEFFERSON,"-240,939","-128,929","-147,724","-230,066","-225,501"
06300,COLORADO                 ,KIOWA,"3,327","2,617",684,628,"1,760"
06310,COLORADO                 ,KIT CARSON,"8,716","5,603","1,800",76,"1,151"
06320,COLORADO                 ,LAKE,"-1,242","-1,079",-668,"-1,136","-2,109"
06330,COLORADO                 ,LA PLATA,"99,534","77,420","63,996","59,054","52,097"
06340,COLORADO                 ,LARIMER,"241,759","148,147","94,033","127,252","190,306"
06350,COLORADO                 ,LAS ANIMAS,"31,856","26,562","5,980","13,164","14,236"
06360,COLORADO                 ,LINCOLN,"8,150",439,-174,"-2,980",-567
06370,COLORADO                 ,LOGAN,"59,594","39,651","17,231","22,591","22,472"
06380,COLORADO                 ,MESA,"-86,793","-85,181","-24,111","-84,090","-92,750"
06390,COLORADO                 ,MINERAL,189,456,302,176,291
06400,COLORADO                 ,MOFFAT,"5,382","5,418","1,713","1,200","1,334"
06410,COLORADO                 ,MONTEZUMA,"74,306","60,241","24,751","16,532","18,628"
06420,COLORADO                 ,MONTROSE,"104,708","85,885","58,139","54,771","42,754"
06430,COLORADO                 ,MORGAN,"-13,841","23,715","10,842","12,744","12,705"
