AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"27,266,221","14,945,177","11,157,430","14,453,817","15,717,829",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"6,498,797","11,240,496","8,248,573","4,709,987","5,562,791",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"8,825,276","9,257,908","7,399,478","2,969,350","1,549,553",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"4,169,811","2,310,599","2,397,191","1,975,445","697,438",,,,,
05510,CALIFORNIA               ,SAN MATEO,"6,763,007","8,218,247","6,005,910","4,063,677","3,346,090",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"5,687,522","3,492,978","2,479,800","2,666,045","2,734,858",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"21,065,698","19,696,673","14,073,538","11,672,541","7,402,371",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"7,290,231","5,939,753","4,923,593","3,952,048","3,040,523",,,,,
05550,CALIFORNIA               ,SHASTA,"5,663,476","4,339,285","3,572,003","2,003,759","552,279",,,,,
05560,CALIFORNIA               ,SIERRA,"-9,372","15,016","27,759","22,281","9,816",,,,,
05570,CALIFORNIA               ,SISKIYOU,"209,390","209,234","69,422","177,293","113,431",,,,,
05580,CALIFORNIA               ,SOLANO,"2,707,001","3,262,082","2,506,780","1,538,259","1,870,347",,,,,
05590,CALIFORNIA               ,SONOMA,"4,999,297","6,534,002","4,265,397","2,987,425","2,562,287",,,,,
05600,CALIFORNIA               ,STANISLAUS,"6,518,305","5,888,567","5,166,959","4,141,193","3,877,759",,,,,
05610,CALIFORNIA               ,SUTTER,"1,314,992","-150,636","-412,944","-403,276","1,248,190",,,,,
05620,CALIFORNIA               ,TEHAMA,"1,006,674","679,407","593,058","369,506","265,413",,,,,
05630,CALIFORNIA               ,TRINITY,"503,488","359,928","408,318","205,991","42,002",,,,,
05640,CALIFORNIA               ,TULARE,"6,499,439","3,655,839","2,668,747","3,412,413","3,886,828",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"1,945,756","1,616,610","1,396,459","1,358,298","1,222,031",,,,,
05660,CALIFORNIA               ,VENTURA,"10,598,023","8,972,129","2,516,712","9,858,734","6,755,529",,,,,
05670,CALIFORNIA               ,YOLO,"1,731,553","1,680,168","1,549,772","961,541","1,063,399",,,,,
05680,CALIFORNIA               ,YUBA,"933,176","-144,088","-220,307","-187,207","893,851",,,,,
06000,COLORADO                 ,ADAMS,"-889,318","-461,489","-682,036","-690,848","-700,300",,,,,
06010,COLORADO                 ,ALAMOSA,"9,983","19,351","1,896","-10,338","-8,105",,,,,
06020,COLORADO                 ,ARAPAHOE,"-1,615,046","-862,816","-1,343,158","-1,446,662","-1,429,147",,,,,
06030,COLORADO                 ,ARCHULETA,"19,899","15,476","10,347","12,250",790,,,,,
06040,COLORADO                 ,BACA,"-7,819","-3,635","-13,986","-9,525","-12,286",,,,,
