HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
4620,AR,SALINE,30780, 0.8890 , 0.8863 , 0.8672 , 0.8559 , 0.8546 , 0.8614 
4630,AR,SCOTT,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4640,AR,SEARCY,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4650,AR,SEBASTIAN,22900, 0.7731 , 0.7933 , 0.7697 , 0.7861 , 0.7599 , 0.7865 
4660,AR,SEVIER,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4670,AR,SHARP,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4680,AR,STONE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4690,AR,UNION,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4700,AR,VAN BUREN,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4710,AR,WASHINGTON,22220, 0.8865 , 0.8742 , 0.8970 , 0.8775 , 0.8616 , 0.9308 
4720,AR,WHITE,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4730,AR,WOODRUFF,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
4740,AR,YELL,NA, 0.7307 , 0.7371 , 0.7473 , 0.7332 , 0.7222 , 0.7357 
5000,CA,ALAMEDA,36084, 1.5819 , 1.5685 , 1.6092 , 1.6404 , 1.6354 , 1.6626 
5010,CA,ALPINE,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5020,CA,AMADOR,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5030,CA,BUTTE,17020, 1.1053 , 1.1290 , 1.0897 , 1.1198 , 1.1533 , 1.1222 
5040,CA,CALAVERAS,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5050,CA,COLUSA,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5060,CA,CONTRA COSTA,36084, 1.5819 , 1.5685 , 1.6092 , 1.6404 , 1.6354 , 1.6626 
5070,CA,DEL NORTE,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5080,CA,EL DORADO,40900, 1.3372 , 1.3505 , 1.3572 , 1.4073 , 1.4053 , 1.4350 
5090,CA,FRESNO,23420, 1.0943 , 1.0993 , 1.1009 , 1.1267 , 1.1422 , 1.1618 
5100,CA,GLENN,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5110,CA,HUMBOLDT,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5120,CA,IMPERIAL,20940, 0.9076 , 0.8914 , 0.8746 , 0.8766 , 0.9258 , 0.8621 
5130,CA,INYO,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5140,CA,KERN,12540, 1.0725 , 1.1051 , 1.1189 , 1.1232 , 1.1707 , 1.1210 
5150,CA,KINGS,25260, 1.0282 , 1.0499 , 1.0870 , 1.1010 , 1.1205 , 1.1017 
5160,CA,LAKE,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5170,CA,LASSEN,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5200,CA,LOS ANGELES,31084, 1.1760 , 1.1771 , 1.2208 , 1.2039 , 1.2130 , 1.2207 
5210,CA,LOS ANGELES,31084, 1.1760 , 1.1771 , 1.2208 , 1.2039 , 1.2130 , 1.2207 
5300,CA,MADERA,31460, 0.8154 , 0.8069 , 0.7939 , 0.7958 , 0.7986 , 0.8068 
5310,CA,MARIN,41884, 1.5165 , 1.5195 , 1.5529 , 1.5874 , 1.5733 , 1.6862 
5320,CA,MARIPOSA,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5330,CA,MENDOCINO,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5340,CA,MERCED,32900, 1.1471 , 1.2120 , 1.2243 , 1.2123 , 1.2359 , 1.3025 
5350,CA,MODOC,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
