ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
11020,GEORGIA,BAKER,0,0,0,,
11030,GEORGIA,BALDWIN,330,"1,985","1,399",,
11040,GEORGIA,BANKS,0,0,101,,
11050,GEORGIA,BARROW,0,"2,791","1,971",,
11060,GEORGIA,BARTOW,0,"159,842","60,317",,
11070,GEORGIA,BEN HILL,0,254,853,,
11080,GEORGIA,BERRIEN,0,0,"1,471",,
11090,GEORGIA,BIBB,0,"3,916","1,773",,
11100,GEORGIA,BLECKLEY,0,785,426,,
11110,GEORGIA,BRANTLEY,0,612,305,,
11120,GEORGIA,BROOKS,0,"1,244",0,,
11130,GEORGIA,BRYAN,0,0,"1,028",,
11140,GEORGIA,BULLOCH,149,400,"1,568",,
11150,GEORGIA,BURKE,0,19,0,,
11160,GEORGIA,BUTTS,0,"2,284",833,,
11161,GEORGIA,CALHOUN,0,0,0,,
11170,GEORGIA,CAMDEN,149,"1,204","3,419",,
11180,GEORGIA,CANDLER,0,386,0,,
11190,GEORGIA,CARROLL,345,"162,170","64,821",,
11200,GEORGIA,CATOOSA,0,988,484,,
11210,GEORGIA,CHARLTON,0,0,323,,
11220,GEORGIA,CHATHAM,0,"9,294","8,409",,
11230,GEORGIA,CHATTAHOOCHEE,0,0,155,,
11240,GEORGIA,CHATTOOGA,488,"1,520",81,,
11250,GEORGIA,CHEROKEE,58,"875,413","355,669",,
11260,GEORGIA,CLARKE,0,"3,749","1,439",,
11270,GEORGIA,CLAY,0,0,0,,
11280,GEORGIA,CLAYTON,330,"33,559","14,281",,
11281,GEORGIA,CLINCH,0,0,0,,
11290,GEORGIA,COBB,889,"5,125,153","1,975,684",,
11291,GEORGIA,COFFEE,0,0,456,,
11300,GEORGIA,COLQUITT,0,"2,114",351,,
11310,GEORGIA,COLUMBIA,262,"1,922","2,058",,
11311,GEORGIA,COOK,0,654,250,,
11320,GEORGIA,COWETA,696,"26,426","11,864",,
11330,GEORGIA,CRAWFORD,0,"1,584",224,,
11340,GEORGIA,CRISP,0,314,284,,
11341,GEORGIA,DADE,0,257,957,,
11350,GEORGIA,DAWSON,0,"5,302","2,967",,
11360,GEORGIA,DECATUR,0,"2,581","4,333",,
11370,GEORGIA,DE KALB,"1,724","98,431","47,554",,
11380,GEORGIA,DODGE,0,254,101,,
11381,GEORGIA,DOOLY,0,254,101,,
11390,GEORGIA,DOUGHERTY,0,962,"1,415",,
11400,GEORGIA,DOUGLAS,262,"1,133,687","432,486",,
