Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
03060,ARIZONA,Maricopa,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03070,ARIZONA,Mohave,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03080,ARIZONA,Navajo,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03090,ARIZONA,Pima,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03100,ARIZONA,Pinal,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03110,ARIZONA,Santa Cruz,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03120,ARIZONA,Yavapai,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
03130,ARIZONA,Yuma,03102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.979,0.983,0.978,0.978,0.989,1.000,1.000,0.822,0.913,1.015,1.015,0.946,0.877,0.877
04000,ARKANSAS,Arkansas,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.923,0.923,0.865,0.865,0.866,0.867,0.867,0.446,0.444,0.450,0.450,0.492,0.534,0.534
04010,ARKANSAS,Ashley,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.923,0.923,0.865,0.865,0.866,0.867,0.867,0.446,0.444,0.450,0.450,0.492,0.534,0.534
04020,ARKANSAS,Baxter,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.923,0.923,0.865,0.865,0.866,0.867,0.867,0.446,0.444,0.450,0.450,0.492,0.534,0.534
04030,ARKANSAS,Benton,07102,13,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.923,0.923,0.865,0.865,0.866,0.867,0.867,0.446,0.444,0.450,0.450,0.492,0.534,0.534
