AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
04470,ARKANSAS,MONROE,"-1,904",-68,465,"-3,446","-3,151","-6,247",-149,"1,176","-4,020","-5,592"
04480,ARKANSAS,MONTGOMERY,"-2,023",-56,534,"-2,991","-3,193","-3,267",-78,436,"-2,611","-2,445"
04490,ARKANSAS,NEVADA,"-2,257",-51,532,"-1,841","-3,769","-3,768",-115,920,"-5,361","-5,204"
04500,ARKANSAS,NEWTON,"-1,425",-32,218,"-1,541","-1,272","-4,744",-83,615,"-2,618","-2,756"
04510,ARKANSAS,OUACHITA,"-6,093",-150,"1,483","-6,031","-7,926","-7,911",-208,"1,588","-9,064","-9,409"
04520,ARKANSAS,PERRY,"-3,840","-2,711","-2,273","-3,466","-6,039","-3,745","-4,146","-4,496","-4,732","-5,991"
04530,ARKANSAS,PHILLIPS,"-6,633",-148,"1,135","-5,346","-6,014","-7,933",-217,"1,807","-11,435","-11,561"
04540,ARKANSAS,PIKE,"-2,736",-63,743,"-2,992","-5,063","-3,377",-65,653,"-4,542","-3,767"
04550,ARKANSAS,POINSETT,"5,258","3,113","4,756","-15,262","-8,762","9,784","5,887","7,761","-20,802","-15,432"
04560,ARKANSAS,POLK,"-7,079",-180,"1,651","-8,899","-9,795","-13,535",-310,"2,722","-15,619","-18,032"
04570,ARKANSAS,POPE,"-6,198",-162,"1,620","-8,315","-9,625","-8,118",-214,"2,003","-11,639","-15,361"
04580,ARKANSAS,PRAIRIE,"-3,036",-82,720,"-3,002","-2,769","-2,312",-75,739,"-3,803","-3,433"
04590,ARKANSAS,PULASKI,"-141,629","-125,557","-122,370","-158,340","-191,936","-129,538","-104,364","-102,527","-133,008","-167,875"
04600,ARKANSAS,RANDOLPH,"-5,205",-102,766,"-5,778","-5,091","-17,597",-447,"3,179","-14,991","-19,756"
04610,ARKANSAS,ST. FRANCIS,"-6,655",-149,"1,283","-7,703","-6,971","-15,356",-385,"2,707","-14,156","-13,779"
04620,ARKANSAS,SALINE,"-24,395","-21,381","-24,396","-27,555","-33,852","-21,134","-16,665","-17,246","-25,965","-32,028"
04630,ARKANSAS,SCOTT,"-2,290",-35,435,"-2,478","-2,889","-3,697",-79,770,"-3,540","-4,871"
04640,ARKANSAS,SEARCY,"-1,538",-45,346,"-2,575","-3,251","-7,293",-149,"1,106","-6,137","-6,932"
04650,ARKANSAS,SEBASTIAN,"-119,292","-49,249","-50,441","-104,109","-43,534","-193,867","-68,601","-69,238","-136,962","-59,340"
04660,ARKANSAS,SEVIER,"-5,127",-142,"1,049","-6,725","-6,798","-12,894",-290,"2,403","-17,088","-23,130"
04670,ARKANSAS,SHARP,"-6,799",-210,"1,649","-9,282","-10,519","-16,512",-474,"4,248","-22,007","-24,763"
04680,ARKANSAS,STONE,"-5,703",-147,"1,247","-4,813","-5,821","-12,534",-313,"3,058","-16,896","-19,994"
04690,ARKANSAS,UNION,"-10,244",-274,"2,091","-12,064","-11,691","-13,750",-445,"3,360","-19,246","-23,579"
04700,ARKANSAS,VAN BUREN,"-4,873",-129,983,"-7,399","-6,095","-14,113",-312,"2,386","-15,724","-16,152"
04710,ARKANSAS,WASHINGTON,"-74,574","-29,317","-181,101","-195,874","-124,662","-102,428","-42,665","-257,216","-271,269","-176,709"
04720,ARKANSAS,WHITE,"-23,561",-578,"4,417","-22,349","-30,683","-26,496",-627,"4,744","-22,756","-23,112"
04730,ARKANSAS,WOODRUFF,"-2,601",-62,735,"-4,068","-5,220","-5,610",-117,"1,593","-12,528","-13,337"
04740,ARKANSAS,YELL,"-3,729",-114,855,"-5,093","-7,247","-8,749",-260,"2,233","-10,164","-12,685"
05000,CALIFORNIA,ALAMEDA,"1,301,030","1,195,733","1,501,736","1,067,887","566,406","1,200,174","1,285,596","1,812,366","1,394,786","868,975"
05010,CALIFORNIA,ALPINE,"2,029",893,"1,834","1,536","1,255",0,251,"1,091",0,878
05020,CALIFORNIA,AMADOR,"77,245","77,756","79,584","50,545","49,242","52,113","62,698","58,325","39,577","36,131"
05030,CALIFORNIA,BUTTE,"173,728","29,491","235,650","167,587","-14,438","142,667","23,610","175,475","138,260","-11,945"
05040,CALIFORNIA,CALAVERAS,"97,407","97,044","100,733","60,707","41,342","102,959","109,033","87,026","59,437","54,617"
05050,CALIFORNIA,COLUSA,"37,872","26,020","30,586","20,435","15,873","19,136","9,620","13,197","9,112","8,171"
05060,CALIFORNIA,CONTRA COSTA,"1,063,433","1,001,410","1,314,670","815,846","453,091","757,831","723,335","1,018,451","776,539","482,127"
05070,CALIFORNIA,DEL NORTE,"34,551","34,457","7,706","18,073","17,141","26,355","25,216","5,881","18,336","13,351"
05080,CALIFORNIA,EL DORADO,"397,945","379,734","462,505","358,484","225,109","277,456","247,493","305,892","309,938","183,804"
05090,CALIFORNIA,FRESNO,"-138,802","-223,391","-161,569","-405,501","-557,540","-166,410","-256,520","-209,694","-541,288","-814,410"
05100,CALIFORNIA,GLENN,"57,935","60,391","52,673","36,579","30,485","53,789","49,062","40,414","33,496","30,117"
05110,CALIFORNIA,HUMBOLDT,"262,913","245,741","191,455","129,839","110,626","250,704","236,370","225,575","146,760","113,691"
05120,CALIFORNIA,IMPERIAL,"-83,048","-180,580","-266,955","-50,734","-123,295","-146,082","-394,736","-562,722","-110,573","-338,121"
