"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
05170,CALIFORNIA,LASSEN,"3,536","340,636",8.03,"340,636",8.03,0,0,0,"3,284",0,0
05200,CALIFORNIA,LOS ANGELES,"576,664","428,190,839",61.88,"428,190,839",61.88,0,0,0,"525,827",0,0
05300,CALIFORNIA,MADERA,"12,533","3,968,790",26.39,"3,968,790",26.39,0,0,0,"11,433",0,0
05310,CALIFORNIA,MARIN,"30,466","20,399,208",55.80,"20,399,208",55.80,0,0,0,"26,533",0,0
05320,CALIFORNIA,MARIPOSA,"3,366","821,415",20.34,"821,416",20.34,0,0,0,"3,139",0,0
05330,CALIFORNIA,MENDOCINO,"14,909","1,816,721",10.15,"1,816,721",10.15,0,0,0,"14,056",0,0
05340,CALIFORNIA,MERCED,"23,030","4,468,818",16.17,"4,468,819",16.17,0,0,0,"21,754",0,0
05350,CALIFORNIA,MODOC,"1,673","45,193",2.25,"45,193",2.25,0,0,0,"1,591",0,0
05360,CALIFORNIA,MONO,"2,132","36,469",1.43,"36,470",1.43,0,0,0,"1,970",0,0
05370,CALIFORNIA,MONTEREY,"46,754","12,318,588",21.96,"12,318,588",21.96,0,0,0,"42,915",0,0
