DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
04700,ARKANSAS,VAN BUREN,-732,-361,-274,-219,-191
04710,ARKANSAS,WASHINGTON,"-19,637","-32,160","-68,635","-52,140","-31,718"
04720,ARKANSAS,WHITE,"-4,620",-539,"-2,571","-8,059","-7,865"
04730,ARKANSAS,WOODRUFF,-597,-378,-459,-680,"-1,356"
04740,ARKANSAS,YELL,-511,-253,-806,"-1,264","-1,676"
05000,CALIFORNIA,ALAMEDA,"655,583","895,606","819,312","496,178","334,124"
05010,CALIFORNIA,ALPINE,0,19,0,0,-68
05020,CALIFORNIA,AMADOR,"14,747","18,576","34,428","12,351","5,316"
05030,CALIFORNIA,BUTTE,"83,388","52,450","75,311","64,463","10,538"
05040,CALIFORNIA,CALAVERAS,"20,585","29,898","21,972","6,443","3,881"
05050,CALIFORNIA,COLUSA,"15,940","6,430","4,306","9,070","3,732"
05060,CALIFORNIA,CONTRA COSTA,"364,650","509,802","443,472","306,192","201,514"
05070,CALIFORNIA,DEL NORTE,"4,324","11,515","5,145","11,784","10,282"
05080,CALIFORNIA,EL DORADO,"82,672","87,411","101,367","62,267","25,670"
05090,CALIFORNIA,FRESNO,"-73,073","-99,866","-69,440","-186,876","-243,534"
05100,CALIFORNIA,GLENN,"9,543","14,876","10,458","5,984","4,021"
05110,CALIFORNIA,HUMBOLDT,"79,734","88,105","84,908","64,250","34,339"
05120,CALIFORNIA,IMPERIAL,804,"-12,426","-18,571",-61,"-22,531"
05130,CALIFORNIA,INYO,"8,021","4,650","12,692","5,041",-179
05140,CALIFORNIA,KERN,"208,406","148,488","119,479","178,151","164,147"
05150,CALIFORNIA,KINGS,"3,343","-11,303","2,600","-2,862","-2,123"
05160,CALIFORNIA,LAKE,"37,063","41,263","52,206","37,614","19,169"
05170,CALIFORNIA,LASSEN,"10,442","1,972","4,367","-1,006","-2,594"
05200,CALIFORNIA,LOS ANGELES,"3,311,748","3,286,393","2,549,234","2,301,755","1,626,942"
05300,CALIFORNIA,MADERA,"-8,991","-6,956","-3,635","-28,648","-25,554"
05310,CALIFORNIA,MARIN,"125,492","161,127","86,090","64,325","47,013"
05320,CALIFORNIA,MARIPOSA,"3,602","2,263","4,871",178,"-2,253"
05330,CALIFORNIA,MENDOCINO,"58,261","71,121","44,549","41,182","21,255"
05340,CALIFORNIA,MERCED,"105,265","97,229","86,655","40,011","37,453"
05350,CALIFORNIA,MODOC,"2,124","1,682",971,"1,130","-1,056"
05360,CALIFORNIA,MONO,"2,826","2,458",-275,"1,542","1,384"
05370,CALIFORNIA,MONTEREY,"134,639","85,879","72,238","28,268","53,259"
05380,CALIFORNIA,NAPA,"62,510","68,681","36,019","10,258","13,369"
05390,CALIFORNIA,NEVADA,"83,310","62,458","64,148","59,829","20,912"
05400,CALIFORNIA,ORANGE,"-78,119","-174,176","-96,898","-106,401","-187,174"
05410,CALIFORNIA,PLACER,"162,295","165,517","278,958","144,760","74,627"
05420,CALIFORNIA,PLUMAS,"7,516","8,734","-1,294","1,264","-2,512"
05430,CALIFORNIA,RIVERSIDE,"241,179","139,204","209,662","220,402","135,316"
05440,CALIFORNIA,SACRAMENTO,"952,644","1,212,036","1,257,997","700,492","413,683"
05450,CALIFORNIA,SAN BENITO,"16,628","7,108","5,544","7,185","7,831"
05460,CALIFORNIA,SAN BERNARDINO,"251,357","202,941","237,586","226,174","161,500"
05470,CALIFORNIA,SAN DIEGO,"444,211","213,527","247,679","157,662","-316,280"
05480,CALIFORNIA,SAN FRANCISCO,"405,963","435,255","381,976","287,730","154,088"
05490,CALIFORNIA,SAN JOAQUIN,"334,281","290,045","94,012","-40,355","-142,737"
05500,CALIFORNIA,SAN LUIS OBISPO,"50,143","49,235","41,514","38,418","27,930"
05510,CALIFORNIA,SAN MATEO,"119,991","113,235","121,802","83,287","49,276"
05520,CALIFORNIA,SANTA BARBARA,"103,464","126,478","76,602","40,421","58,390"
05530,CALIFORNIA,SANTA CLARA,"570,306","547,958","448,575","243,352","282,883"
05540,CALIFORNIA,SANTA CRUZ,"120,335","196,200","123,811","65,696","64,799"
05550,CALIFORNIA,SHASTA,"84,298","53,998","-16,112","52,608","1,817"
05560,CALIFORNIA,SIERRA,"3,892",362,-491,"-2,006",-457
05570,CALIFORNIA,SISKIYOU,"14,034","9,727","9,447","11,663","10,798"
05580,CALIFORNIA,SOLANO,"214,696","222,928","164,686","91,246","60,266"
05590,CALIFORNIA,SONOMA,"212,894","200,489","157,579","98,258","69,585"
05600,CALIFORNIA,STANISLAUS,"148,910","178,996","109,880","56,353","-41,607"
05610,CALIFORNIA,SUTTER,"31,389","43,609","48,583","23,257","21,110"
05620,CALIFORNIA,TEHAMA,"10,620","17,790","4,320","9,060","1,258"
05630,CALIFORNIA,TRINITY,"20,708","8,960","-4,905","4,362","1,882"
05640,CALIFORNIA,TULARE,"-40,024","-96,926","-70,260","-60,513","-46,406"
05650,CALIFORNIA,TUOLUMNE,"12,791","18,537","15,342","18,587","3,992"
05660,CALIFORNIA,VENTURA,"123,781","110,686","32,219","-16,278","-34,358"
05670,CALIFORNIA,YOLO,"164,711","168,200","127,650","51,135","39,516"
05680,CALIFORNIA,YUBA,"24,296","31,490","26,761","17,818","19,867"
06000,COLORADO,ADAMS,"-58,423","-71,273","-44,346","-28,671","-24,115"
06010,COLORADO,ALAMOSA,-246,"-2,175","-2,987","-2,888",-610
06020,COLORADO,ARAPAHOE,"-78,424","-85,581","-54,221","-52,811","-38,660"
06030,COLORADO,ARCHULETA,665,-686,-421,-337,-284
06040,COLORADO,BACA,-513,-551,-801,0,-114
06050,COLORADO,BENT,-554,"-1,187","-1,662",-992,-159
06060,COLORADO,BOULDER,"-42,658","-27,409","-34,841","-42,185","-9,137"
06070,COLORADO,CHAFFEE,-352,"-2,634","-2,287",-329,-391
06080,COLORADO,CHEYENNE,-76,0,-168,0,0
06090,COLORADO,CLEAR CREEK,"-1,144",-651,0,-746,-374
06100,COLORADO,CONEJOS,"-1,748",0,-984,-509,-42
06110,COLORADO,COSTILLA,-475,-593,"-1,275",-180,-138
06120,COLORADO,CROWLEY,-158,"-1,257",-998,-31,-40
06130,COLORADO,CUSTER,-129,-34,-811,-480,-9
06140,COLORADO,DELTA,"-1,936","-6,047","-7,850","-3,455","-1,309"
06150,COLORADO,DENVER,"-127,997","-129,207","-100,788","-63,495","-49,534"
06160,COLORADO,DOLORES,0,0,-734,0,25
06170,COLORADO,DOUGLAS,"-7,412","-7,652","-6,392","-7,962","-6,763"
06180,COLORADO,EAGLE,"-1,002","-2,077",-694,"-2,366",-311
06190,COLORADO,ELBERT,"-2,335","-1,693",356,-948,-245
06200,COLORADO,EL PASO,"-60,730","-60,549","-83,499","-32,981","-34,506"
06210,COLORADO,FREMONT,"-4,075","-3,065","-5,906","-6,286","-2,309"
06220,COLORADO,GARFIELD,"-1,178","-4,069","-4,782","-4,014",-114
06230,COLORADO,GILPIN,-658,0,-689,"-1,193",-30
06240,COLORADO,GRAND,-894,-941,"-2,782",-606,-283
06250,COLORADO,GUNNISON,-174,0,0,-28,90
06260,COLORADO,HINSDALE,0,0,0,0,0
06270,COLORADO,HUERFANO,-906,-782,-839,"-1,415",52
06280,COLORADO,JACKSON,0,0,0,0,0
06290,COLORADO,JEFFERSON,"-58,402","-60,178","-51,969","-37,514","-25,646"
06300,COLORADO,KIOWA,0,0,-587,0,0
06310,COLORADO,KIT CARSON,0,-234,"-1,069",-616,-264
06320,COLORADO,LAKE,0,-591,0,-300,-580
06330,COLORADO,LA PLATA,"-1,496","-2,375","-5,939","-4,545",-808
06340,COLORADO,LARIMER,"-1,140","25,976","20,934","30,269","30,491"
06350,COLORADO,LAS ANIMAS,"-2,504","-3,028","-4,519",-169,-585
06360,COLORADO,LINCOLN,-674,0,-376,-194,-17
06370,COLORADO,LOGAN,"-1,678","-2,362","-6,802","-2,313",-516
06380,COLORADO,MESA,"-5,046","-4,900","2,645","7,294","7,589"
06390,COLORADO,MINERAL,*,*,*,*,*
06400,COLORADO,MOFFAT,0,-448,-918,"-1,784",119
06410,COLORADO,MONTEZUMA,"-1,634","-3,341","-2,900",-839,-799
06420,COLORADO,MONTROSE,"-2,700","-1,441","-7,266","-4,870",-290
06430,COLORADO,MORGAN,"-2,632","-2,635","-5,838","-3,277",-242
06440,COLORADO,OTERO,"-3,856","-5,365","-5,467","-2,937",-559
06450,COLORADO,OURAY,0,-156,0,0,0
06460,COLORADO,PARK,"-1,172",-447,-167,-589,-257
06470,COLORADO,PHILLIPS,-26,0,-395,"-1,374",25
06480,COLORADO,PITKIN,0,0,0,"-1,276",-73
06490,COLORADO,PROWERS,-509,"-1,943","-2,604","-1,448",-608
06500,COLORADO,PUEBLO,"-25,553","-35,599","-27,477","-11,215",529
06510,COLORADO,RIO BLANCO,-45,0,135,0,0
06520,COLORADO,RIO GRANDE,-386,"-2,138","-2,023",-446,-261
06530,COLORADO,ROUTT,-448,-547,"-1,289","-1,760",468
06540,COLORADO,SAGUACHE,-285,0,-802,-238,0
06550,COLORADO,SAN JUAN,*,*,*,*,*
06560,COLORADO,SAN MIGUEL,0,0,0,0,-337
06570,COLORADO,SEDGWICK,-861,0,-68,"-1,018",-639
06580,COLORADO,SUMMIT,"-2,472",-591,"-1,259",-104,-346
06590,COLORADO,TELLER,"-2,064","-2,874","-3,531","-1,478","-2,514"
06600,COLORADO,WASHINGTON,-953,"-2,537",-181,0,61
06610,COLORADO,WELD,"-14,473","-14,414","-19,542","-16,261","-16,105"
06620,COLORADO,YUMA,"-1,623",-583,"-1,366","-1,167",-226
06630,COLORADO,BROOMFIELD,"-3,553",-841,"-1,170",-904,-921
07000,CONNECTICUT,FAIRFIELD,"230,819","286,178","144,018","67,692","49,420"
07010,CONNECTICUT,HARTFORD,"15,649","154,534","208,975","122,661","35,053"
07020,CONNECTICUT,LITCHFIELD,"19,818","33,193","21,964","9,412",387
07030,CONNECTICUT,MIDDLESEX,"17,863","34,085","42,360","19,562","12,835"
07040,CONNECTICUT,NEW HAVEN,"513,716","544,568","389,298","228,933","271,270"
07050,CONNECTICUT,NEW LONDON,"108,426","159,164","145,115","108,775","43,147"
