AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
06060,COLORADO                 ,BOULDER,"-340,994","-300,148","-185,548","-269,647","-374,976",,,,,
06070,COLORADO                 ,CHAFFEE,"-2,581","-35,056","-47,892","-64,337","-41,174",,,,,
06080,COLORADO                 ,CHEYENNE,"-1,012","-1,406","-2,488","-1,155",-361,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-10,131","-9,128","-8,232","-4,591",-455,,,,,
06100,COLORADO                 ,CONEJOS,"-3,432","-6,411","-9,544","-11,448","-6,889",,,,,
06110,COLORADO                 ,COSTILLA,"-4,002","-4,762","-9,056","-11,623","-5,560",,,,,
06120,COLORADO                 ,CROWLEY,"-1,143","-7,702","-11,782","-6,287","-6,025",,,,,
06130,COLORADO                 ,CUSTER,"-3,757","-2,044","-4,337","-4,731","-2,793",,,,,
06140,COLORADO                 ,DELTA,"-1,322","-43,267","-66,944","-86,776","-61,649",,,,,
06150,COLORADO                 ,DENVER,"-673,391","-603,242","-537,184","-307,015","-65,428",,,,,
06160,COLORADO                 ,DOLORES,"1,023","-1,179","-3,133","-3,530","-2,112",,,,,
06170,COLORADO                 ,DOUGLAS,"-84,183","-77,393","-81,443","-60,681","-17,201",,,,,
06180,COLORADO                 ,EAGLE,"-4,708","-19,336","-13,381","-14,762","-20,639",,,,,
06190,COLORADO                 ,ELBERT,"-18,673","-8,383","-8,467","-9,828",273,,,,,
06200,COLORADO                 ,EL PASO,"-962,140","-557,380","-289,021","-595,061","107,316",,,,,
06210,COLORADO                 ,FREMONT,"-17,013","-61,760","-76,825","-99,697","-79,246",,,,,
