DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"3,942","13,983","3,889","6,456","3,331",,,,,
05200,CALIFORNIA               ,LOS ANGELES,"1,198,190","1,999,735","1,713,968","932,334","671,105",,,,,
05300,CALIFORNIA               ,MADERA,"12,098","2,831","10,994","12,883","-6,227",,,,,
05310,CALIFORNIA               ,MARIN,"121,994","111,385","144,063","76,262","46,283",,,,,
05320,CALIFORNIA               ,MARIPOSA,"1,007","3,579","1,288","6,362","1,334",,,,,
05330,CALIFORNIA               ,MENDOCINO,"50,814","49,610","55,891","36,308","24,934",,,,,
05340,CALIFORNIA               ,MERCED,"54,355","54,697","48,956","47,085","-2,678",,,,,
05350,CALIFORNIA               ,MODOC,"5,933","1,878","1,701",-183,899,,,,,
05360,CALIFORNIA               ,MONO,801,"3,428","2,057",-56,"1,275",,,,,
05370,CALIFORNIA               ,MONTEREY,"101,344","65,664","33,275","19,081","-32,836",,,,,
05380,CALIFORNIA               ,NAPA,"65,558","60,094","65,634","35,154","5,432",,,,,
05390,CALIFORNIA               ,NEVADA,"44,828","69,771","54,731","56,732","37,304",,,,,
05400,CALIFORNIA               ,ORANGE,"57,814","56,493","-38,019","16,320","8,729",,,,,
05410,CALIFORNIA               ,PLACER,"127,497","135,864","134,527","231,293","92,132",,,,,
05420,CALIFORNIA               ,PLUMAS,"10,122","8,268","8,611","1,941","2,491",,,,,
05430,CALIFORNIA               ,RIVERSIDE,"95,705","150,133","32,661","107,044","99,524",,,,,
05440,CALIFORNIA               ,SACRAMENTO,"911,658","794,239","994,202","1,021,376","435,237",,,,,
05450,CALIFORNIA               ,SAN BENITO,"21,062","14,864","7,313","5,068","4,081",,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"98,359","151,553","66,635","104,343","92,870",,,,,
05470,CALIFORNIA               ,SAN DIEGO,"1,110,196","917,314","779,890","789,724","656,686",,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"444,739","375,279","394,242","347,521","199,922",,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"530,229","539,711","544,909","303,974","155,585",,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"41,773","36,013","30,357","17,576","9,982",,,,,
05510,CALIFORNIA               ,SAN MATEO,"133,628","107,981","103,379","110,613","57,650",,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"66,929","72,243","86,862","39,373","9,216",,,,,
05530,CALIFORNIA               ,SANTA CLARA,"594,232","581,648","557,694","467,516","157,815",,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"87,848","86,106","129,350","69,016",-173,,,,,
05550,CALIFORNIA               ,SHASTA,"97,801","74,957","44,953","-28,016","40,054",,,,,
05560,CALIFORNIA               ,SIERRA,"1,012","3,654",339,37,-63,,,,,
05570,CALIFORNIA               ,SISKIYOU,"8,758","10,276","6,101","3,168","2,717",,,,,
05580,CALIFORNIA               ,SOLANO,"181,709","189,589","193,913","148,645","60,771",,,,,
05590,CALIFORNIA               ,SONOMA,"157,567","157,884","141,555","109,737","47,868",,,,,
05600,CALIFORNIA               ,STANISLAUS,"152,719","138,425","173,322","100,398","62,494",,,,,
05610,CALIFORNIA               ,SUTTER,"29,766","25,376","36,557","38,416","13,205",,,,,
05620,CALIFORNIA               ,TEHAMA,"18,992","9,902","15,822","2,870","7,653",,,,,
05630,CALIFORNIA               ,TRINITY,"10,170","18,773","7,177","-7,650","3,807",,,,,
05640,CALIFORNIA               ,TULARE,"-7,479","-31,075","-82,125","-63,007","-37,380",,,,,
05650,CALIFORNIA               ,TUOLUMNE,"11,196","15,125","20,421","18,640","13,291",,,,,
05660,CALIFORNIA               ,VENTURA,"107,859","111,562","88,921","10,374","-18,626",,,,,
05670,CALIFORNIA               ,YOLO,"110,456","135,060","136,750","106,274","30,410",,,,,
05680,CALIFORNIA               ,YUBA,"23,469","22,573","25,940","18,500","6,357",,,,,
06000,COLORADO                 ,ADAMS,"-39,250","-32,005","-39,491","-21,626","-6,990",,,,,
06010,COLORADO                 ,ALAMOSA,-367,-211,"-3,001","-2,687","-2,943",,,,,
06020,COLORADO                 ,ARAPAHOE,"-37,185","-44,104","-45,823","-23,438","-6,767",,,,,
