AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-5,112,922","-5,351,172","-2,640,076","-2,400,850","-2,031,520",,,
05440,CALIFORNIA               ,SACRAMENTO,"-2,389,549","-2,410,177","-2,610,174","-2,685,449","-1,205,840",,,
05450,CALIFORNIA               ,SAN BENITO,"-144,942","-130,658","-172,208","-165,725","-75,816",,,
05460,CALIFORNIA               ,SAN BERNARDINO,"-4,390,006","-4,728,745","-2,307,319","-2,012,728","-1,623,189",,,
05470,CALIFORNIA               ,SAN DIEGO,"-7,123,867","-7,331,418","-7,363,117","-7,209,388","-3,266,452",,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-1,956,955","-1,873,738","-1,838,015","-1,671,277","-732,076",,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-1,762,263","-1,814,561","-2,071,819","-2,055,529","-869,363",,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,-964,"-1,424","-2,136","-1,580",-325,,,
05510,CALIFORNIA               ,SAN MATEO,"-1,354,252","-1,336,041","-1,350,949","-1,320,002","-585,875",,,
05520,CALIFORNIA               ,SANTA BARBARA,"-1,267",-521,-420,"-1,031",-723,,,
05530,CALIFORNIA               ,SANTA CLARA,"-3,346,525","-3,538,078","-3,704,543","-3,717,790","-1,698,809",,,
05540,CALIFORNIA               ,SANTA CRUZ,"-2,940","-1,156","-1,231","-1,191",-129,,,
05550,CALIFORNIA               ,SHASTA,-817,-219,-35,-196,0,,,
05560,CALIFORNIA               ,SIERRA,-476,-238,"-1,086","-1,029",-590,,,
05570,CALIFORNIA               ,SISKIYOU,-131,-745,-61,-569,0,,,
05580,CALIFORNIA               ,SOLANO,"-2,424","-2,579","-4,302","-2,948",-983,,,
05590,CALIFORNIA               ,SONOMA,"-71,391","-77,050","-87,426","-92,050","-38,879",,,
05600,CALIFORNIA               ,STANISLAUS,"-3,808","-3,688","-4,503","-7,075",-573,,,
05610,CALIFORNIA               ,SUTTER,-687,-328,-377,-841,-38,,,
05620,CALIFORNIA               ,TEHAMA,"-1,393",-57,-35,-213,-474,,,
05630,CALIFORNIA               ,TRINITY,0,0,0,0,0,,,
05640,CALIFORNIA               ,TULARE,"-2,204,172","-2,381,713","-2,504,810","-2,488,324","-1,064,022",,,
05650,CALIFORNIA               ,TUOLUMNE,-636,0,-276,-406,-140,,,
05660,CALIFORNIA               ,VENTURA,"-2,652,355","-2,639,903","-2,732,941","-2,718,925","-1,162,338",,,
05670,CALIFORNIA               ,YOLO,"-257,163","-250,275","-250,418","-291,577","-136,700",,,
05680,CALIFORNIA               ,YUBA,0,0,-43,0,0,,,
06000,COLORADO                 ,ADAMS,"-1,101,446","-1,125,773","-1,131,050","-1,096,753","-520,777",,,
06010,COLORADO                 ,ALAMOSA,0,-115,0,-347,-343,,,
06020,COLORADO                 ,ARAPAHOE,"-2,063,860","-2,195,242","-2,264,060","-2,350,742","-1,118,635",,,
06030,COLORADO                 ,ARCHULETA,0,0,-652,-109,-63,,,
06040,COLORADO                 ,BACA,0,0,0,0,0,,,
06050,COLORADO                 ,BENT,-118,-62,-367,-163,0,,,
06060,COLORADO                 ,BOULDER,"-163,437","-160,262","-147,030","-138,700","-67,774",,,
06070,COLORADO                 ,CHAFFEE,0,0,0,0,0,,,
06080,COLORADO                 ,CHEYENNE,0,0,-45,0,0,,,
06090,COLORADO                 ,CLEAR CREEK,0,0,0,-150,-53,,,
06100,COLORADO                 ,CONEJOS,0,0,0,0,0,,,
06110,COLORADO                 ,COSTILLA,0,0,0,0,0,,,
06120,COLORADO                 ,CROWLEY,0,0,0,0,0,,,
06130,COLORADO                 ,CUSTER,0,0,0,0,0,,,
06140,COLORADO                 ,DELTA,-73,-805,-656,-69,0,,,
06150,COLORADO                 ,DENVER,"-1,961,930","-1,948,929","-1,909,126","-1,892,581","-876,018",,,
06160,COLORADO                 ,DOLORES,0,0,0,0,-271,,,
06170,COLORADO                 ,DOUGLAS,"-453,764","-496,526","-512,975","-560,163","-273,919",,,
06180,COLORADO                 ,EAGLE,0,0,-65,0,0,,,
