DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"184,130","201,912","284,872","250,342","163,646"
05530,CALIFORNIA               ,SANTA CLARA,"588,657","593,484","522,300","389,283","222,497"
05540,CALIFORNIA               ,SANTA CRUZ,"184,700","140,727","102,603","49,254","2,678"
05550,CALIFORNIA               ,SHASTA,"237,583","166,794","171,312","72,834","107,227"
05560,CALIFORNIA               ,SIERRA,"3,359","6,257","6,384","7,171","3,853"
05570,CALIFORNIA               ,SISKIYOU,"21,888","38,654","47,492","39,531","9,464"
05580,CALIFORNIA               ,SOLANO,"202,085","173,518","170,191","181,715","69,218"
05590,CALIFORNIA               ,SONOMA,"249,117","199,871","219,063","277,175","93,313"
05600,CALIFORNIA               ,STANISLAUS,"306,380","317,758","359,510","214,064","44,384"
05610,CALIFORNIA               ,SUTTER,"61,043","63,305","149,013","214,023","77,731"
05620,CALIFORNIA               ,TEHAMA,"92,677","63,673","66,499","58,399","47,921"
05630,CALIFORNIA               ,TRINITY,"26,349","22,481","23,402","12,142","15,910"
05640,CALIFORNIA               ,TULARE,"314,797","366,467","429,663","610,386","264,401"
05650,CALIFORNIA               ,TUOLUMNE,"78,537","86,623","79,896","50,843","13,447"
05660,CALIFORNIA               ,VENTURA,"212,579","297,869","275,202","296,165","62,164"
05670,CALIFORNIA               ,YOLO,"140,339","115,983","117,557","121,523","60,650"
05680,CALIFORNIA               ,YUBA,"63,128","70,934","137,450","186,060","74,283"
06000,COLORADO                 ,ADAMS,"-60,588","-68,820","-79,477","-60,653","-19,876"
06010,COLORADO                 ,ALAMOSA,-114,"-3,360","-5,073","-7,362","-8,716"
06020,COLORADO                 ,ARAPAHOE,"-82,328","-98,730","-109,587","-77,937","-18,134"
06030,COLORADO                 ,ARCHULETA,35,-833,-719,"-3,201","-5,296"
06040,COLORADO                 ,BACA,-217,"-1,449","-1,812","-1,778","-2,280"
06050,COLORADO                 ,BENT,79,"-1,465","-1,888","-4,053","-5,210"
06060,COLORADO                 ,BOULDER,"-37,915","-40,801","-47,335","-47,273","-35,806"
06070,COLORADO                 ,CHAFFEE,"-1,294","-1,305","-1,357",-952,-545
06080,COLORADO                 ,CHEYENNE,-117,-904,-511,-790,"-1,058"
06090,COLORADO                 ,CLEAR CREEK,"-1,462","-1,561","-1,336",-757,-230
06100,COLORADO                 ,CONEJOS,-169,"-1,817","-3,045","-3,774","-5,761"
06110,COLORADO                 ,COSTILLA,-173,"-1,417","-2,327","-3,307","-3,183"
06120,COLORADO                 ,CROWLEY,-484,"-1,334","-2,022","-2,764","-3,145"
06130,COLORADO                 ,CUSTER,67,-758,-502,"-1,876","-1,334"
06140,COLORADO                 ,DELTA,"-2,092","-7,665","-8,432","-11,879","-12,116"
06150,COLORADO                 ,DENVER,"-115,688","-120,030","-134,405","-96,871","-22,087"
06160,COLORADO                 ,DOLORES,275,-534,-540,-721,-174
06170,COLORADO                 ,DOUGLAS,"-10,039","-13,243","-16,457","-10,885","-2,574"
06180,COLORADO                 ,EAGLE,"-3,510","-3,260","-3,457","-4,695","-1,821"
06190,COLORADO                 ,ELBERT,"-2,527","-4,175","-3,549","-2,304","-2,297"
06200,COLORADO                 ,EL PASO,"-92,938","-97,158","-106,996","-119,340","-158,532"
06210,COLORADO                 ,FREMONT,"-3,616","-14,512","-19,119","-29,400","-28,669"
06220,COLORADO                 ,GARFIELD,"-24,073","-21,264","-18,781","-15,819","-15,917"
