"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
05360,CALIFORNIA               ,MONO,"-24,740","-68,180","-63,894","-67,734","-99,580","-17,161",,,,,,
05370,CALIFORNIA               ,MONTEREY,"-2,677,609","-2,638,102","-2,923,696","-4,009,161","-4,430,829","-927,411",,,,,,
05380,CALIFORNIA               ,NAPA,"-1,766,694","-2,343,984","-2,030,146","-1,991,854","-1,136,335","-216,882",,,,,,
05390,CALIFORNIA               ,NEVADA,"-636,328","-871,548","-1,449,898","-1,516,500","-1,307,065","-105,488",,,,,,
05400,CALIFORNIA               ,ORANGE,"-22,595,298","-18,250,571","-17,309,847","-19,561,407","-15,056,538","-44,192",,,,,,
05410,CALIFORNIA               ,PLACER,"-1,243,456","-1,346,286","-1,943,277","-2,750,764","-2,083,356","-12,163,399",,,,,,
05420,CALIFORNIA               ,PLUMAS,"-171,010","-181,187","-229,375","-288,792","-185,341","-297,304",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-8,653,418","-8,357,589","-8,511,315","-8,090,375","-5,401,698","-1,204",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"-9,220,576","-9,406,726","-10,555,288","-11,944,784","-10,962,094","1,214",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"-533,810","-681,099","-731,554","-762,790","-581,519","-230,987",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"-7,447,448","-4,888,961","-4,432,286","-3,092,756","-2,144,065","-183,832",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"-17,952,476","-15,779,021","-18,215,263","-18,641,873","-16,489,905","-42,818",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-10,395,670","-9,516,954","-9,052,471","-9,699,131","-7,638,194","-191,969",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-6,750,803","-7,698,633","-6,606,878","-6,508,537","-3,809,375","-505,455",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"-1,371,583","-1,751,987","-1,547,758","-2,139,188","-2,523,080","-13,793",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-2,811,743","-3,065,304","-2,475,120","-2,909,906","-2,453,075","-14,094",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"-3,702,109","-4,066,546","-3,604,366","-4,306,754","-4,401,329","-652,182",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-12,849,429","-15,987,400","-15,818,789","-17,755,692","-13,460,702","-102,494",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"-4,138,353","-3,995,142","-4,509,541","-5,503,008","-3,918,380","-121,697",,,,,,
05550,CALIFORNIA               ,SHASTA,"-2,427,464","-3,194,007","-4,914,811","-5,808,952","-4,680,211","-1,983,605",,,,,,
05560,CALIFORNIA               ,SIERRA,"-17,973","-32,681","-25,199","-39,436","-23,287","-428,303",,,,,,
05570,CALIFORNIA               ,SISKIYOU,"-298,954","-384,142","-420,689","-545,939","-457,314","-45,357",,,,,,
05580,CALIFORNIA               ,SOLANO,"-4,610,051","-4,520,034","-5,515,838","-5,694,265","-4,006,772","-1,433,324",,,,,,
05590,CALIFORNIA               ,SONOMA,"-4,612,609","-5,330,219","-4,825,006","-4,592,001","-3,289,277","-1,880,901",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"-4,040,966","-3,683,488","-3,172,616","-4,403,104","-3,001,890","-63,165",,,,,,
05610,CALIFORNIA               ,SUTTER,"-3,211,700","-3,313,623","-2,722,828","-2,377,355","-487,905","-1,055,042",,,,,,
05620,CALIFORNIA               ,TEHAMA,"-681,453","-763,884","-903,752","-1,013,891","-720,125",0,,,,,,
05630,CALIFORNIA               ,TRINITY,"-347,031","-423,695","-511,537","-577,338","-560,635","-2,873,840",,,,,,
05640,CALIFORNIA               ,TULARE,"-8,390,534","-8,668,749","-7,415,976","-7,509,858","-6,032,595","-1,003,712",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"-710,379","-773,461","-633,879","-824,676","-699,795","-965,835",,,,,,
05660,CALIFORNIA               ,VENTURA,"-4,024,141","-3,568,692","-4,237,799","-4,222,572","-4,365,563","-482,591",,,,,,
05670,CALIFORNIA               ,YOLO,"-952,306","-871,396","-891,220","-1,092,443","-1,017,824","-176,298",,,,,,
05680,CALIFORNIA               ,YUBA,"-1,992,396","-1,960,574","-2,026,042","-1,559,302","-267,167","-917,808",,,,,,
06000,COLORADO                 ,ADAMS,"403,027","473,058","119,022","-56,351","-158,809","-1,445,892",,,,,,
06010,COLORADO                 ,ALAMOSA,"-61,618","-38,565","-24,276","-10,042","-17,270","-271,295",,,,,,
06020,COLORADO                 ,ARAPAHOE,"382,731","290,613","487,304","198,504","39,301","-323,994",,,,,,
06030,COLORADO                 ,ARCHULETA,"-28,373","-39,493","-49,253","-13,226","-52,866","-7,162",,,,,,
06040,COLORADO                 ,BACA,"-14,583","-13,709","-29,565","-7,850","-21,107","-27,598",,,,,,
06050,COLORADO                 ,BENT,"-49,435","-59,000","-62,482","-39,365","-42,558","-506,054",,,,,,
06060,COLORADO                 ,BOULDER,"269,397","210,472","21,755","-172,832","4,153","-345,710",,,,,,
06070,COLORADO                 ,CHAFFEE,"-16,635","-26,287","-12,631","-27,419","-33,187","-719,125",,,,,,
06080,COLORADO                 ,CHEYENNE,"-6,761","-2,355",-627,-480,"-9,286","-42,200",,,,,,
06090,COLORADO                 ,CLEAR CREEK,"14,754","12,038","12,690","11,386","2,836","-49,821",,,,,,
06100,COLORADO                 ,CONEJOS,"-33,491","-16,710","-21,209","-39,199","-5,938","-37,163",,,,,,
06110,COLORADO                 ,COSTILLA,"-14,405","-13,749","-4,230","-2,733","-2,072","-529,770",,,,,,
06120,COLORADO                 ,CROWLEY,"-27,979","-51,466","-36,414","-16,181","-26,875","-71,185",,,,,,
06130,COLORADO                 ,CUSTER,"-10,949","-17,954","-16,382","-30,297","-19,863","-803,607",,,,,,
06140,COLORADO                 ,DELTA,"-7,222","-43,097","-8,191","-29,823","-1,523","-128,635",,,,,,
06150,COLORADO                 ,DENVER,"2,203,673","1,867,990","1,909,366","2,113,449","1,386,833","-34,622",,,,,,
06160,COLORADO                 ,DOLORES,"-1,074","-2,491","-7,816","-14,020","-3,288",-994,,,,,,
06170,COLORADO                 ,DOUGLAS,"9,514","-64,105","-6,483","-3,849","7,545","-1,372",,,,,,
06180,COLORADO                 ,EAGLE,"-19,301","-12,030","-53,528","-40,565","-22,191","-4,311",,,,,,
06190,COLORADO                 ,ELBERT,"-4,069","7,041","-1,505",262,84,"-9,815",,,,,,
06200,COLORADO                 ,EL PASO,"34,179","383,706","-81,218","-86,263","-233,137","-254,951",,,,,,
06210,COLORADO                 ,FREMONT,"-106,680","-62,208","-134,772","-129,020","-143,790",316,,,,,,
06220,COLORADO                 ,GARFIELD,"-36,034","-7,788","-34,564","-43,459","-62,059","-314,949",,,,,,
06230,COLORADO                 ,GILPIN,"3,453","-5,620","1,564","4,426","2,556","-5,206",,,,,,
06240,COLORADO                 ,GRAND,"1,446","8,559","-18,280","-26,139","-17,028","-6,385",,,,,,
06250,COLORADO                 ,GUNNISON,"-8,318","-8,819","4,593","-14,930","-10,192","-5,333",,,,,,
06260,COLORADO                 ,HINSDALE,-6,"1,237","2,132","-4,120","3,100",0,,,,,,
06270,COLORADO                 ,HUERFANO,"-41,589","-77,163","-28,300","-45,440","-51,664","-115,293",,,,,,
06280,COLORADO                 ,JACKSON,487,"-5,834","-6,285",-526,"-1,486","-8,663",,,,,,
06290,COLORADO                 ,JEFFERSON,"1,052,862","1,122,723","939,181","902,199","374,045","-1,534",,,,,,
06300,COLORADO                 ,KIOWA,"-10,977","-16,143","-3,443","-22,167","-17,819","-3,172",,,,,,
06310,COLORADO                 ,KIT CARSON,"12,743","15,729","-18,162","-12,241","-3,841",921,,,,,,
06320,COLORADO                 ,LAKE,"7,171","4,805","9,775","5,778","-7,697",-860,,,,,,
06330,COLORADO                 ,LA PLATA,"-118,806","-71,947","-79,341","-52,388","-42,845","-4,640",,,,,,
06340,COLORADO                 ,LARIMER,"-83,622","-88,699","-359,975","-604,654","-259,807","-3,980",,,,,,
06350,COLORADO                 ,LAS ANIMAS,"-84,352","-59,177","-79,526","-86,673","-85,565","-7,713",,,,,,
06360,COLORADO                 ,LINCOLN,"12,071","5,671","6,093","-10,545","2,067","-409,072",,,,,,
06370,COLORADO                 ,LOGAN,"-21,553","-36,751","-64,521","-66,524","-66,782","-3,493",,,,,,
06380,COLORADO                 ,MESA,"-41,032","-10,681","-31,085","-60,202","-57,046","-42,013",,,,,,
06390,COLORADO                 ,MINERAL,"-2,055","-4,385","-11,499","-1,652","-2,640","-13,224",,,,,,
06400,COLORADO                 ,MOFFAT,"-10,460","-10,416","-2,952","-12,029",416,"-13,664",,,,,,
06410,COLORADO                 ,MONTEZUMA,"-79,908","-42,733","-56,541","-48,714","-27,696","-435,972",,,,,,
06420,COLORADO                 ,MONTROSE,"-21,439","-31,775","-23,820","-52,125","-21,205","-34,364",,,,,,
06430,COLORADO                 ,MORGAN,"-59,385","-118,097","-99,218","-104,069","-116,658","-9,721",,,,,,
06440,COLORADO                 ,OTERO,"-248,291","-265,691","-235,098","-201,391","-138,548","-1,707",,,,,,
06450,COLORADO                 ,OURAY,"-4,566",814,"-2,922","-2,653","-6,125","-8,173",,,,,,
06460,COLORADO                 ,PARK,"5,024","16,123","-6,845","15,389","3,751","-7,745",,,,,,
06470,COLORADO                 ,PHILLIPS,"-16,475","-46,888","-23,258","-11,740","-16,375","1,616",,,,,,
06480,COLORADO                 ,PITKIN,"-34,227","-32,250","-23,099","-47,662","-52,185","-13,711",,,,,,
06490,COLORADO                 ,PROWERS,"-87,303","-103,898","-77,043","-100,820","-66,455","-1,736",,,,,,
06500,COLORADO                 ,PUEBLO,"-788,228","-825,355","-644,126","-695,879","-590,728","-100,007",,,,,,
06510,COLORADO                 ,RIO BLANCO,"-2,985","-5,168","-5,938","-5,992","3,671","-3,614",,,,,,
06520,COLORADO                 ,RIO GRANDE,"-61,378","-37,832","8,844","-36,327","-2,254","-4,544",,,,,,
06530,COLORADO                 ,ROUTT,"-4,157","7,012","-6,007","-41,935","-51,515","-3,050",,,,,,
06540,COLORADO                 ,SAGUACHE,"-18,805","-15,912","-2,949","-8,076","-13,655","-15,614",,,,,,
06550,COLORADO                 ,SAN JUAN,-736,"-2,304",-592,"-1,034","-4,876","-131,926",,,,,,
06560,COLORADO                 ,SAN MIGUEL,"-6,565","-1,992","-4,752","-4,068",826,"-17,280",,,,,,
06570,COLORADO                 ,SEDGWICK,"-7,642","-6,545","-5,402","-10,451","-2,746","-1,747",,,,,,
06580,COLORADO                 ,SUMMIT,"22,525","7,649","-12,462","1,818","4,475","-5,182",,,,,,
06590,COLORADO                 ,TELLER,"-7,211","-23,933","-13,143","-37,692","-20,254","-17,724",,,,,,
06600,COLORADO                 ,WASHINGTON,"-19,696","-15,311","-18,283","-32,770","-27,874",-300,,,,,,
06610,COLORADO                 ,WELD,"-563,947","-752,185","-818,180","-749,969","-485,784","-3,858",,,,,,
06620,COLORADO                 ,YUMA,"-45,861","-37,998","-59,716","-51,694","-27,184","-7,715",,,,,,
06630,COLORADO                 ,BROOMFIELD,"53,884","48,561","24,174","2,523","17,587","-9,946",,,,,,
07000,CONNECTICUT              ,FAIRFIELD,"2,138,559","2,623,488","643,158","-1,905,440","-3,397,578","-9,217",,,,,,
07010,CONNECTICUT              ,HARTFORD,"1,355,710","223,977","-2,826,896","-5,948,651","-5,873,508","-30,151",,,,,,
07020,CONNECTICUT              ,LITCHFIELD,"-472,136","-161,352","-868,270","-1,474,710","-1,162,873","-1,280",,,,,,
07030,CONNECTICUT              ,MIDDLESEX,"718,943","622,731","326,680","-612,235","-941,558","-8,218",,,,,,
07040,CONNECTICUT              ,NEW HAVEN,"1,758,996","2,102,736","-359,718","-5,223,147","-8,629,011","-2,810",,,,,,
07050,CONNECTICUT              ,NEW LONDON,"299,688","-59,380","-1,029,904","-2,209,977","-2,568,443","-8,389",,,,,,
07060,CONNECTICUT              ,TOLLAND,600,"-66,747","-212,842","-596,192","-617,640","-9,077",,,,,,
07070,CONNECTICUT              ,WINDHAM,"-186,860","-191,598","-421,688","-928,216","-958,918","-191,643",,,,,,
08000,DELAWARE                 ,KENT,"-1,836,114","-1,854,026","-1,515,244","-1,680,937","-1,414,805","-3,577",,,,,,
08010,DELAWARE                 ,NEW CASTLE,"-2,098,536","-1,991,705","-2,087,230","-1,888,718","-2,491,567","-4,847",,,,,,
08020,DELAWARE                 ,SUSSEX,"-1,262,248","-603,904","-839,956","-1,184,650","-1,346,228","-3,897",,,,,,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"-6,441,730","-5,268,199","-4,668,549","-5,727,840","-4,353,766","-3,051",,,,,,
10000,FLORIDA                  ,ALACHUA,"-557,811","-492,005","-754,588","-758,904","-641,403","-1,577",,,,,,
10010,FLORIDA                  ,BAKER,"-10,325","-35,751","1,391","15,920","26,113","-1,359",,,,,,
10020,FLORIDA                  ,BAY,"-3,285,358","-2,707,916","-2,454,919","-2,262,895","-1,434,898","-5,854",,,,,,
10030,FLORIDA                  ,BRADFORD,"-148,057","-118,822","-60,431","-128,949","-96,790","-15,417",,,,,,
10040,FLORIDA                  ,BREVARD,"3,233,472","3,071,495","3,458,154","3,582,165","1,979,308","-2,353",,,,,,
10050,FLORIDA                  ,BROWARD,"2,817,135","3,873,314","1,580,170","2,190,903","2,199,090","-25,439",,,,,,
10060,FLORIDA                  ,CALHOUN,"-188,262","-138,803","-102,143","-94,125","-88,637","-5,604",,,,,,
10070,FLORIDA                  ,CHARLOTTE,"375,508","155,418","-1,541","-591,672","-537,684","-32,304",,,,,,
10080,FLORIDA                  ,CITRUS,"-222,933","-346,292","-602,195","-505,117","-354,014","-1,238",,,,,,
10090,FLORIDA                  ,CLAY,"189,141","-153,122","-474,669","-640,689","-478,341","-851,439",,,,,,
10100,FLORIDA                  ,COLLIER,"89,625","-40,394","-638,297","-1,056,958","-570,100",-87,,,,,,
10110,FLORIDA                  ,COLUMBIA,"-107,495","-84,259","-119,643","-53,922","-93,342","-893,162",,,,,,
10120,FLORIDA                  ,MIAMI-DADE,"-42,241,271","-34,884,654","-28,455,974","-21,219,810","-13,100,777",27,,,,,,
10130,FLORIDA                  ,DESOTO,"19,876","-21,432","-55,995","-132,395","-82,079","-210,229",,,,,,
10140,FLORIDA                  ,DIXIE,"-33,882","-21,097","-67,176","-126,301","-126,833","-245,410",,,,,,
10150,FLORIDA                  ,DUVAL,"592,117","535,702","1,026,969","1,239,506","-143,705","-2,378,975",,,,,,
10160,FLORIDA                  ,ESCAMBIA,"-2,462,990","-2,011,447","-1,673,243","-1,868,381","-1,254,057","-373,419",,,,,,
10170,FLORIDA                  ,FLAGLER,"-91,927","-167,192","-121,758","-209,709","-148,854","-56,826",,,,,,
10180,FLORIDA                  ,FRANKLIN,"-122,518","-67,712","-102,326","-72,779","-42,189","-103,208",,,,,,
10190,FLORIDA                  ,GADSDEN,"-193,082","-107,713","-152,603","-76,383","-46,832","-134,619",,,,,,
10200,FLORIDA                  ,GILCHRIST,"-33,104","-19,101","-59,013","-68,597","-111,176","-764,106",,,,,,
10210,FLORIDA                  ,GLADES,"-34,657","-47,018","-38,174","-33,637","-14,103","-24,307",,,,,,
10220,FLORIDA                  ,GULF,"-342,046","-254,778","-200,096","-199,348","-85,398",-331,,,,,,
10230,FLORIDA                  ,HAMILTON,"-28,094","-66,613","-37,140","-75,943","-33,695",0,,,,,,
10240,FLORIDA                  ,HARDEE,"-98,749","-150,782","-154,732","-110,799","-122,487","-1,159,487",,,,,,
10250,FLORIDA                  ,HENDRY,"-127,949","-109,138","-138,438","-62,991","-118,661",-225,,,,,,
10260,FLORIDA                  ,HERNANDO,"-191,623","-267,039","-541,985","-483,064","-33,014",-214,,,,,,
10270,FLORIDA                  ,HIGHLANDS,"-1,149,272","-1,737,778","-1,901,060","-1,552,733","-1,233,493",-780,,,,,,
10280,FLORIDA                  ,HILLSBOROUGH,"1,243,084","670,961","646,067","1,348,775","-172,048",-622,,,,,,
10290,FLORIDA                  ,HOLMES,"-213,814","-185,163","-223,204","-196,801","-118,513",0,,,,,,
10300,FLORIDA                  ,INDIAN RIVER,"-13,303","-108,868","-119,464","-332,171","-275,606",-125,,,,,,
10310,FLORIDA                  ,JACKSON,"-589,292","-647,203","-525,077","-431,423","-353,349","-278,970",,,,,,
10320,FLORIDA                  ,JEFFERSON,"-45,822","-45,994","-38,428","-74,297","-54,811","24,859",,,,,,
10330,FLORIDA                  ,LAFAYETTE,"-23,361","-22,576","-34,652","-37,585","-18,366","149,690",,,,,,
10340,FLORIDA                  ,LAKE,"46,819","-496,304","-1,296,770","-1,507,504","-1,537,909","-23,839",,,,,,
10350,FLORIDA                  ,LEE,"-794,246","-1,263,744","-1,640,082","-1,995,995","-2,017,552","1,241,645",,,,,,
10360,FLORIDA                  ,LEON,"-480,882","-495,870","-267,262","-203,398","-68,827","834,010",,,,,,
10370,FLORIDA                  ,LEVY,"-158,697","-158,139","-258,352","-203,397","-241,528","7,624",,,,,,
10380,FLORIDA                  ,LIBERTY,"-47,954","-37,375","-42,496","-16,044","-11,472","-71,614",,,,,,
10390,FLORIDA                  ,MADISON,"-132,356","-93,390","-89,721","-161,878","-87,106","-28,493",,,,,,
10400,FLORIDA                  ,MANATEE,"-953,401","-1,039,260","-925,187","-1,260,226","-608,129","-42,182",,,,,,
10410,FLORIDA                  ,MARION,"1,999,896","76,440","-549,625","-276,509","-147,201","191,110",,,,,,
10420,FLORIDA                  ,MARTIN,"-101,362","-271,186","-411,392","-452,074","-421,568",-414,,,,,,
10430,FLORIDA                  ,MONROE,"-959,640","-917,835","-897,098","-612,043","-496,916",-39,,,,,,
10440,FLORIDA                  ,NASSAU,"-266,915","-104,453","-44,617","-40,125","-160,442","14,196",,,,,,
10450,FLORIDA                  ,OKALOOSA,"-594,072","-454,124","-718,890","-1,087,044","-983,173","1,288,272",,,,,,
10460,FLORIDA                  ,OKEECHOBEE,"-76,503","-83,690","-140,439","-169,289","-97,180","-6,932",,,,,,
10470,FLORIDA                  ,ORANGE,"3,840,146","4,345,479","3,449,990","3,554,723","1,732,141","-22,365",,,,,,
10480,FLORIDA                  ,OSCEOLA,"192,858","-105,183","-479,732","157,308","-162,954","749,136",,,,,,
10490,FLORIDA                  ,PALM BEACH,"3,566,156","2,970,224","1,247,586","797,787","-127,183","259,914",,,,,,
10500,FLORIDA                  ,PASCO,"2,665,730","3,011,966","2,685,218","2,336,567","1,280,701","13,090",,,,,,
10510,FLORIDA                  ,PINELLAS,"2,235,958","2,234,544","2,214,855","1,782,132","1,312,341","-2,325",,,,,,
10520,FLORIDA                  ,POLK,"-1,216,603","-1,405,041","-1,788,520","-1,970,597","-1,124,865","17,634",,,,,,
10530,FLORIDA                  ,PUTNAM,"-906,367","-666,054","-833,928","-733,517","-649,771","-17,140",,,,,,
10540,FLORIDA                  ,ST. JOHNS,"-689,174","-660,381","-120,986","-148,154","-235,890",-108,,,,,,
10550,FLORIDA                  ,ST. LUCIE,"97,867","-188,596","-604,313","-642,035","-433,736","-5,578",,,,,,
10560,FLORIDA                  ,SANTA ROSA,"-907,125","-999,627","-905,865","-893,548","-648,855","2,256",,,,,,
10570,FLORIDA                  ,SARASOTA,"545,992","276,445","-464,016","-1,179,053","-1,494,457","7,984",,,,,,
10580,FLORIDA                  ,SEMINOLE,"1,424,063","1,346,347","1,155,749","1,450,181","471,552","4,947",,,,,,
10590,FLORIDA                  ,SUMTER,"21,306","-18,755","-90,971","-136,323","-129,756","-21,717",,,,,,
10600,FLORIDA                  ,SUWANNEE,"-157,278","-203,213","-193,194","-170,949","-183,991","69,921",,,,,,
10610,FLORIDA                  ,TAYLOR,"-166,358","-184,508","-174,111","-107,795","-148,912","46,794",,,,,,
10620,FLORIDA                  ,UNION,"-49,447","-67,753","-31,392","-4,505","-33,741","754,592",,,,,,
10630,FLORIDA                  ,VOLUSIA,"1,359,827","83,725","-967,501","-667,394","36,138","-12,705",,,,,,
10640,FLORIDA                  ,WAKULLA,"-135,613","-52,119","-66,049","-35,154","-37,806","138,127",,,,,,
10650,FLORIDA                  ,WALTON,"-212,308","-213,982","-192,959","-338,361","-274,122","-50,983",,,,,,
10660,FLORIDA                  ,WASHINGTON,"-340,159","-356,150","-268,444","-282,288","-161,386","2,469",,,,,,
11000,GEORGIA                  ,APPLING,"-35,757","-37,517","23,521","32,288",479,"-7,803",,,,,,
11010,GEORGIA                  ,ATKINSON,"-50,392","-67,723","-23,682","-54,653","-25,137","398,956",,,,,,
11011,GEORGIA                  ,BACON,"-59,524","-20,869","-28,040","-20,899","-6,009","-178,666",,,,,,
11020,GEORGIA                  ,BAKER,"-26,655",-197,"-13,706","-16,447","-6,090","67,280",,,,,,
11030,GEORGIA                  ,BALDWIN,"-569,171","-344,182","-204,778","-233,445","-210,606","-48,754",,,,,,
11040,GEORGIA                  ,BANKS,"-127,786","-103,029","-56,325","-108,961","-84,710","10,752",,,,,,
11050,GEORGIA                  ,BARROW,"-379,842","-384,197","-418,368","-404,231","-332,877","-2,292",,,,,,
11060,GEORGIA                  ,BARTOW,"-456,067","-519,922","-768,676","-773,589","-442,720","-85,971",,,,,,
11070,GEORGIA                  ,BEN HILL,"-339,609","-318,711","-182,567","-155,975","-162,667","104,428",,,,,,
11080,GEORGIA                  ,BERRIEN,"-310,248","-267,144","-191,865","-250,535","-115,186","-46,143",,,,,,
11090,GEORGIA                  ,BIBB,"-2,135,611","-2,527,226","-1,495,051","-1,793,196","-901,446","82,015",,,,,,
11100,GEORGIA                  ,BLECKLEY,"-80,331","-105,253","-60,932","-88,100","-25,203","10,976",,,,,,
11110,GEORGIA                  ,BRANTLEY,"-66,350","-48,538","-37,589","-30,304","-35,552","-81,411",,,,,,
11120,GEORGIA                  ,BROOKS,"-166,503","-103,501","-87,777","-164,095","-82,055","-2,089",,,,,,
11130,GEORGIA                  ,BRYAN,"-202,724","-120,906","-166,541","-11,402","-36,754","1,622,747",,,,,,
11140,GEORGIA                  ,BULLOCH,"-1,069,276","-905,065","-876,288","-697,322","-465,594","88,486",,,,,,
11150,GEORGIA                  ,BURKE,"-253,026","-199,589","-140,491","-108,078","-53,156",0,,,,,,
