AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
05090,CALIFORNIA               ,FRESNO,"11,188,276","12,149,443","13,580,125","16,493,028","6,420,098",,,,,,,,,,,
05100,CALIFORNIA               ,GLENN,"628,015","603,756","648,554","737,125","367,536",,,,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"2,158,286","1,385,036","1,068,494","858,935","948,175",,,,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,"2,812,413","3,536,139","3,902,314","4,280,729","1,779,895",,,,,,,,,,,
05130,CALIFORNIA               ,INYO,"212,588","195,257","146,448","175,896","128,958",,,,,,,,,,,
05140,CALIFORNIA               ,KERN,"8,481,804","9,410,012","8,747,722","7,719,958","5,068,866",,,,,,,,,,,
05150,CALIFORNIA               ,KINGS,"1,849,135","2,280,492","2,373,135","2,785,280","1,131,746",,,,,,,,,,,
05160,CALIFORNIA               ,LAKE,"1,926,841","1,453,842","1,054,257","909,239","319,375",,,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"417,197","425,208","376,698","339,522","344,791",,,,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"115,313,787","126,753,087","109,862,296","89,460,896","66,590,802",,,,,,,,,,,
05300,CALIFORNIA               ,MADERA,"2,175,460","2,430,016","2,628,632","2,968,810","1,069,341",,,,,,,,,,,
05310,CALIFORNIA               ,MARIN,"4,887,421","4,086,723","4,626,438","5,086,107","2,910,141",,,,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,"470,020","452,350","440,656","432,778","227,091",,,,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,"106,931","90,343","1,443,854","1,582,411","687,036",,,,,,,,,,,
05340,CALIFORNIA               ,MERCED,"4,128,762","4,040,778","3,482,964","2,662,393","1,425,661",,,,,,,,,,,
05350,CALIFORNIA               ,MODOC,"180,716","108,125","126,757","65,983","63,612",,,,,,,,,,,
05360,CALIFORNIA               ,MONO,"59,907","111,337","110,869","102,179","103,536",,,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"8,505,405","3,550,101","2,027,312","1,875,174","112,521",,,,,,,,,,,
05380,CALIFORNIA               ,NAPA,"4,544,866","3,475,691","1,800,848","1,772,508","317,258",,,,,,,,,,,
05390,CALIFORNIA               ,NEVADA,"4,280,063","3,548,563","3,777,749","3,517,918","1,846,362",,,,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"30,732,439","33,881,212","29,107,854","28,236,158","17,338,772",,,,,,,,,,,
05410,CALIFORNIA               ,PLACER,"6,903,418","5,901,222","6,599,858","7,198,199","3,584,732",,,,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,"452,891","444,887","447,986","468,948","337,104",,,,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"20,196,228","21,795,514","21,119,851","20,780,524","11,617,353",,,,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"26,071,512","22,021,848","23,356,101","22,640,369","11,609,948",,,,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"966,327","822,706","677,857","557,388","292,632",,,,,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"14,928,212","15,790,881","14,017,833","12,541,491","8,430,104",,,,,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"30,305,199","33,729,585","35,705,412","36,419,657","19,051,557",,,,,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"17,733,046","13,487,068","14,415,724","13,061,388","8,052,281",,,,,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"19,954,380","16,697,905","14,348,651","12,910,273","8,674,753",,,,,,,,,,,
