"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
18530,KENTUCKY                 ,HOPKINS,"-34,317","-44,896","-39,217","-65,090","-29,713","4,036",,,,,,
18540,KENTUCKY                 ,JACKSON,"-65,842","-101,259","-175,185","-126,938","-33,829","-13,555",,,,,,
18550,KENTUCKY                 ,JEFFERSON,"-756,088","-1,066,426","-1,393,913","-2,050,114","-1,161,256","-2,980",,,,,,
18560,KENTUCKY                 ,JESSAMINE,"-13,751","-54,443","-35,258","-64,642","-12,870","-7,858",,,,,,
18570,KENTUCKY                 ,JOHNSON,"-267,997","-216,552","-178,872","-205,670","-69,738","-59,496",,,,,,
18580,KENTUCKY                 ,KENTON,"58,835","-3,268","-110,266","-36,100","-41,396","-11,243",,,,,,
18590,KENTUCKY                 ,KNOTT,"-125,690","-180,514","-165,225","-142,531","-111,355","-15,139",,,,,,
18600,KENTUCKY                 ,KNOX,"-215,748","-178,896","-186,940","-179,276","-75,936","-20,309",,,,,,
18610,KENTUCKY                 ,LARUE,"-16,786","-30,895","-22,675","-41,172","-30,792",-244,,,,,,
18620,KENTUCKY                 ,LAUREL,"-543,691","-568,181","-427,821","-504,261","-221,556","-21,897",,,,,,
18630,KENTUCKY                 ,LAWRENCE,"-145,983","-130,328","-79,317","-88,006","-70,336","-11,124",,,,,,
18640,KENTUCKY                 ,LEE,"-32,343","-48,346","-40,674","-16,948","-6,325","-34,960",,,,,,
18650,KENTUCKY                 ,LESLIE,"-136,324","-114,398","-157,166","-93,581","-95,968","-2,201",,,,,,
18660,KENTUCKY                 ,LETCHER,"-129,718","-105,682","-77,833","-82,236","-96,713",702,,,,,,
18670,KENTUCKY                 ,LEWIS,"-82,108","-129,352","-59,082","-53,185","-43,715","-9,083",,,,,,
18680,KENTUCKY                 ,LINCOLN,"-130,338","-152,768","-111,984","-178,205","-144,143","-37,464",,,,,,
18690,KENTUCKY                 ,LIVINGSTON,"-17,600","-13,246","-33,295","-17,304","-8,596","2,489",,,,,,
18700,KENTUCKY                 ,LOGAN,"-116,134","-65,987","-110,724","-90,236","-56,378","-3,627",,,,,,
18710,KENTUCKY                 ,LYON,"-7,909","-13,387","-24,402","-6,965","-7,293","-7,100",,,,,,
18720,KENTUCKY                 ,MCCRACKEN,"-40,106","-85,912","-26,747","-6,635","-41,035","-7,049",,,,,,
18730,KENTUCKY                 ,MCCREARY,"-182,430","-161,212","-230,405","-195,715","-103,920","-27,780",,,,,,
18740,KENTUCKY                 ,MCLEAN,"-16,386","-9,971","-9,804","-8,629","1,302","-15,592",,,,,,
18750,KENTUCKY                 ,MADISON,"-210,485","-244,030","-319,235","-306,119","-198,095","-40,683",,,,,,
18760,KENTUCKY                 ,MAGOFFIN,"-121,202","-100,827","-132,094","-85,432","-29,590","-11,867",,,,,,
18770,KENTUCKY                 ,MARION,"-40,282","-45,915","-57,017","-44,353","-51,110",907,,,,,,
18780,KENTUCKY                 ,MARSHALL,"-49,606","-36,738","-53,775","-26,878","-20,173","-3,618",,,,,,
18790,KENTUCKY                 ,MARTIN,"-135,922","-177,536","-143,500","-126,166","-47,014","-14,917",,,,,,
18800,KENTUCKY                 ,MASON,"-65,561","-44,942","-89,298","-74,540","-55,711","-4,247",,,,,,
18801,KENTUCKY                 ,MEADE,"-55,463","-80,147","-48,158","-84,525","-45,384","-4,488",,,,,,
18802,KENTUCKY                 ,MENIFEE,"-30,293","-69,668","-41,236","-40,599","-56,562","-10,866",,,,,,
18830,KENTUCKY                 ,MERCER,"-78,989","-64,555","-69,421","-68,600","-33,404","-120,493",,,,,,
18831,KENTUCKY                 ,METCALFE,"-74,569","-100,316","-110,171","-126,792","-40,045",0,,,,,,
18850,KENTUCKY                 ,MONROE,"-239,637","-291,757","-250,703","-183,654","-87,248","-9,578",,,,,,
18860,KENTUCKY                 ,MONTGOMERY,"-24,524","-88,145","-62,804","-79,800","-52,081","-16,067",,,,,,
18861,KENTUCKY                 ,MORGAN,"-116,858","-91,079","-86,094","-67,663","-74,554","-43,183",,,,,,
18880,KENTUCKY                 ,MUHLENBERG,"-78,100","-24,853","-44,860","-49,861","-45,119",-494,,,,,,
18890,KENTUCKY                 ,NELSON,"-76,409","-91,235","-93,782","-113,224","-75,763","-8,008",,,,,,
18900,KENTUCKY                 ,NICHOLAS,"-30,042","-7,959","-24,150","-32,346","-26,800","-9,270",,,,,,
18910,KENTUCKY                 ,OHIO,"-33,480","-7,267","-48,801","-21,299","-16,136","-10,208",,,,,,
18920,KENTUCKY                 ,OLDHAM,"-13,640","-24,880","-30,555","-80,960","-40,200","6,931",,,,,,
18930,KENTUCKY                 ,OWEN,"-17,891","-9,905","-40,713","-35,089","-13,995","-20,777",,,,,,
18931,KENTUCKY                 ,OWSLEY,"-33,494","-31,960","-36,646","-52,661","-29,886","-3,746",,,,,,
18932,KENTUCKY                 ,PENDLETON,"-38,198","-3,389","-25,131","-30,332","2,616","-18,303",,,,,,
18960,KENTUCKY                 ,PERRY,"-448,665","-401,925","-456,310","-481,075","-279,519",-920,,,,,,
18970,KENTUCKY                 ,PIKE,"-294,140","-219,712","-197,362","-176,927","-159,239","-54,017",,,,,,
18971,KENTUCKY                 ,POWELL,"-49,744","-97,291","-61,187","-41,487","-30,336","-25,235",,,,,,
18972,KENTUCKY                 ,PULASKI,"-619,311","-652,776","-836,083","-785,077","-377,413","-12,461",,,,,,
18973,KENTUCKY                 ,ROBERTSON,"-48,842","-2,981","-27,443","-7,784","1,997","-8,823",,,,,,
18974,KENTUCKY                 ,ROCKCASTLE,"-108,789","-181,815","-150,039","-112,805","-69,185","-19,904",,,,,,
18975,KENTUCKY                 ,ROWAN,"-125,493","-153,207","-231,829","-175,323","-92,641","-4,166",,,,,,
18976,KENTUCKY                 ,RUSSELL,"-172,476","-150,321","-175,051","-103,817","-90,413",-970,,,,,,
18977,KENTUCKY                 ,SCOTT,"-59,806","-53,076","-66,111","-71,439","-43,864",0,,,,,,
18978,KENTUCKY                 ,SHELBY,"-39,890","-11,273","-75,943","-121,870","-39,204","-6,453",,,,,,
18979,KENTUCKY                 ,SIMPSON,"-71,722","-71,904","-84,061","-54,329","-45,137","-7,119",,,,,,
18980,KENTUCKY                 ,SPENCER,"-10,616","-46,434","-22,260","-9,282","-6,963","-515,212",,,,,,
18981,KENTUCKY                 ,TAYLOR,"-96,232","-113,331","-134,867","-165,863","-68,053","-21,707",,,,,,
18982,KENTUCKY                 ,TODD,"-51,041","-78,089","-54,237","-38,136","-18,355","-16,582",,,,,,
18983,KENTUCKY                 ,TRIGG,"-45,615","-35,775","-44,348","-27,620","-18,279","-40,830",,,,,,
18984,KENTUCKY                 ,TRIMBLE,"-19,279","-7,276","-3,527","-16,073","-18,086","-10,622",,,,,,
18985,KENTUCKY                 ,UNION,"-48,175","-23,293","-59,212","-49,514","-10,653","-19,779",,,,,,
18986,KENTUCKY                 ,WARREN,"-374,723","-405,188","-510,042","-460,202","-219,025","-4,011",,,,,,
18987,KENTUCKY                 ,WASHINGTON,"-9,027","-26,942","-40,803","-29,068","-22,373","-26,596",,,,,,
18988,KENTUCKY                 ,WAYNE,"-132,067","-143,526","-146,189","-100,630","-93,853","-8,713",,,,,,
18989,KENTUCKY                 ,WEBSTER,"-9,352","-11,329","-11,072","-36,352","24,157","-3,764",,,,,,
18990,KENTUCKY                 ,WHITLEY,"-451,906","-516,754","-614,511","-482,925","-313,674","-9,854",,,,,,
18991,KENTUCKY                 ,WOLFE,"-50,084","-67,025","-102,342","-84,896","-7,029","4,889",,,,,,
18992,KENTUCKY                 ,WOODFORD,"-30,416","-48,875","-28,354","-16,689","-21,209","-2,600",,,,,,
19000,LOUISIANA                ,ACADIA,"-2,867","-30,226","-92,668","-135,020","-67,117","-15,578",,,,,,
19010,LOUISIANA                ,ALLEN,"-102,556","-117,990","-66,778","-86,504","-53,362","1,121",,,,,,
19020,LOUISIANA                ,ASCENSION,"-24,950","5,545","-1,818","133,386","63,160","-8,120",,,,,,
19030,LOUISIANA                ,ASSUMPTION,"-24,571","-13,254","-30,272","-29,255","-23,803","1,041",,,,,,
19040,LOUISIANA                ,AVOYELLES,"-145,081","-137,829","-200,769","-120,666","-147,758","25,348",,,,,,
19050,LOUISIANA                ,BEAUREGARD,"-56,263","-75,359","-66,057","-73,909","-52,101","-13,730",,,,,,
19060,LOUISIANA                ,BIENVILLE,"-99,282","-57,760","-52,095","-68,139","-52,711",-4,,,,,,
19070,LOUISIANA                ,BOSSIER,"-150,865","-131,872","-70,288","-67,509","-73,500","-38,823",,,,,,
19080,LOUISIANA                ,CADDO,"-348,072","-260,056","-107,542","124,063","133,433","-8,482",,,,,,
19090,LOUISIANA                ,CALCASIEU,"104,135","-89,600","-138,303","-255,524","-225,235","-5,355",,,,,,
19100,LOUISIANA                ,CALDWELL,"-64,074","-63,950","-43,493","-10,998","-22,390","2,627",,,,,,
19110,LOUISIANA                ,CAMERON,"3,007","1,531",-37,-778,"6,049","-6,232",,,,,,
19120,LOUISIANA                ,CATAHOULA,"-92,071","-68,072","-73,043","-62,220","-56,109","-11,276",,,,,,
19130,LOUISIANA                ,CLAIBORNE,"-56,058","-62,073","-82,720","-33,570","-37,583","-9,847",,,,,,
19140,LOUISIANA                ,CONCORDIA,"-25,359","-7,233","-5,938","4,318","-23,519","-2,614",,,,,,
19150,LOUISIANA                ,DE SOTO,"-69,520","-56,966","-47,432","-44,141","-27,673","-6,059",,,,,,
19160,LOUISIANA                ,EAST BATON ROUGE,"-155,988","-348,286","201,005","498,855","380,244","-2,493",,,,,,
19170,LOUISIANA                ,EAST CARROLL,"-21,753",141,"-16,269",472,"-37,665","-10,545",,,,,,
19180,LOUISIANA                ,EAST FELICIANA,"-34,812","-25,896","-29,504","-10,696","44,666","-11,682",,,,,,
19190,LOUISIANA                ,EVANGELINE,"-91,914","-129,709","-204,778","-56,119","-92,845","-4,990",,,,,,
19200,LOUISIANA                ,FRANKLIN,"-97,131","-66,666","-100,045","-49,388","-41,398","-9,856",,,,,,
19210,LOUISIANA                ,GRANT,"-100,588","-64,416","-71,534","-63,811","-37,559","-8,902",,,,,,
19220,LOUISIANA                ,IBERIA,"-166,345","-234,193","-332,045","-272,728","-192,846","-4,156",,,,,,
19230,LOUISIANA                ,IBERVILLE,"-27,105","-95,779","-53,425","-121,488","80,983",151,,,,,,
19240,LOUISIANA                ,JACKSON,"-80,190","-52,112","-75,732","-42,993","-37,895","-3,428",,,,,,
19250,LOUISIANA                ,JEFFERSON,"-115,614","208,472","207,370","251,831","261,019","-3,776",,,,,,
19260,LOUISIANA                ,JEFFERSON DAVIS,"3,164","-17,804","-49,732","-37,278","-47,761","-3,908",,,,,,
19270,LOUISIANA                ,LAFAYETTE,"170,909","203,318","-91,540","12,900","94,070","-8,459",,,,,,
19280,LOUISIANA                ,LAFOURCHE,"-48,236","-115,622","-82,259","-79,606","-73,789","-34,340",,,,,,
19290,LOUISIANA                ,LA SALLE,"-108,651","-89,418","-96,139","-89,210","-38,691","-28,579",,,,,,
19300,LOUISIANA                ,LINCOLN,"-100,020","-112,369","-109,177","-108,603","-36,479","-9,919",,,,,,
19310,LOUISIANA                ,LIVINGSTON,"38,991","21,687","-93,600","45,515","21,681","-47,990",,,,,,
19320,LOUISIANA                ,MADISON,"-47,625","-57,051","-73,100","-17,854","-32,769","-2,046",,,,,,
19330,LOUISIANA                ,MOREHOUSE,"-40,427","-4,846","-27,345","46,080","12,923","-8,200",,,,,,
19340,LOUISIANA                ,NATCHITOCHES,"-96,361","-69,988","-60,441","-38,699","-31,352","-9,589",,,,,,
19350,LOUISIANA                ,ORLEANS,"391,871","299,011","422,227","738,928","531,932","-13,070",,,,,,
19360,LOUISIANA                ,OUACHITA,"-224,675","-313,693","-288,294","-145,342","-161,632","-15,976",,,,,,
19370,LOUISIANA                ,PLAQUEMINES,"8,911","25,128",-174,"2,210",696,"-3,704",,,,,,
19380,LOUISIANA                ,POINTE COUPEE,"5,264","-35,471","-39,793","-30,654","16,412","-9,613",,,,,,
19390,LOUISIANA                ,RAPIDES,"-605,515","-577,179","-536,137","-511,512","-489,667","-3,688",,,,,,
19400,LOUISIANA                ,RED RIVER,"-41,317","-29,700","-9,349",-846,"-13,819","-9,132",,,,,,
19410,LOUISIANA                ,RICHLAND,"-90,624","-52,790","-57,904","-18,612","-31,030","-2,338",,,,,,
19420,LOUISIANA                ,SABINE,"-84,031","-92,066","-42,046","-73,482","54,333","-7,175",,,,,,
19430,LOUISIANA                ,ST. BERNARD,"-16,769","-18,768","-23,154","23,224","-23,806","-1,353",,,,,,
19440,LOUISIANA                ,ST. CHARLES,"-28,353","-23,223","-31,365","6,051","10,741","-3,667",,,,,,
19450,LOUISIANA                ,ST. HELENA,"-8,499","-41,118","-40,308","-31,520","-28,883","-48,716",,,,,,
19460,LOUISIANA                ,ST. JAMES,"-27,746","-61,368","-23,281","-3,230","-14,800","-4,011",,,,,,
19470,LOUISIANA                ,ST. JOHN THE BAPTIST,"-78,009","-37,986","-56,234","-55,817","-40,518","-14,116",,,,,,
19480,LOUISIANA                ,ST. LANDRY,"-463,093","-344,519","-517,245","-530,836","-278,084","-2,525",,,,,,
19490,LOUISIANA                ,ST. MARTIN,"-7,453","11,862","-105,414","-76,719","-74,082","-59,414",,,,,,
19500,LOUISIANA                ,ST. MARY,"-90,434","-57,979","-122,920","-88,882","-73,142","-6,478",,,,,,
19510,LOUISIANA                ,ST. TAMMANY,"-147,303","-130,668","-174,506","-251,463","-115,017","-5,312",,,,,,
19520,LOUISIANA                ,TANGIPAHOA,"-853,428","-673,952","-990,439","-651,116","-469,894",0,,,,,,
19530,LOUISIANA                ,TENSAS,"-6,117","-23,182","-10,258","-23,517","-20,351","-41,770",,,,,,
19540,LOUISIANA                ,TERREBONNE,"-43,380","-106,104","-244,428","-98,721","-143,485","-18,894",,,,,,
19550,LOUISIANA                ,UNION,"-71,221","-65,311","-56,193","-113,629","-45,280","-15,743",,,,,,
19560,LOUISIANA                ,VERMILION,"-92,523","6,766","-115,418","-101,305","-41,545","-4,112",,,,,,
19570,LOUISIANA                ,VERNON,"-93,370","-116,175","-102,605","-119,903","-75,891","-23,889",,,,,,
19580,LOUISIANA                ,WASHINGTON,"-138,180","-61,593","-81,015","10,067","4,465","-70,048",,,,,,
19590,LOUISIANA                ,WEBSTER,"-235,662","-289,061","-220,581","-232,301","-159,002","-16,376",,,,,,
19600,LOUISIANA                ,WEST BATON ROUGE,"-12,658","-71,776","-39,682","-10,688","70,498","-52,172",,,,,,
19610,LOUISIANA                ,WEST CARROLL,"-52,122","-15,615","-25,776","-12,374",-912,"-304,105",,,,,,
19620,LOUISIANA                ,WEST FELICIANA,"26,676","-14,431","8,169","-4,996","10,014","-171,171",,,,,,
19630,LOUISIANA                ,WINN,"-35,505","-47,065","-66,268","-70,067","-23,790","-14,771",,,,,,
20000,MAINE                    ,ANDROSCOGGIN,"-397,364","-379,501","-350,385","-339,340","-320,801","-2,883",,,,,,
20010,MAINE                    ,AROOSTOOK,"-224,126","-233,299","-296,648","-235,788","-176,844","-9,433",,,,,,
20020,MAINE                    ,CUMBERLAND,"-194,365","-110,613","-202,937","-185,844","-204,045","-11,065",,,,,,
20030,MAINE                    ,FRANKLIN,"-22,342","-48,470","-41,073","-32,795","-55,677","-8,851",,,,,,
20040,MAINE                    ,HANCOCK,"-55,442","-71,342","-72,175","-87,508","-69,110","-18,300",,,,,,
20050,MAINE                    ,KENNEBEC,"-31,628","-233,632","-345,249","-342,827","-306,435","-80,659",,,,,,
20060,MAINE                    ,KNOX,"-28,014","-35,935","-46,468","-20,823","-37,996","-6,853",,,,,,
20070,MAINE                    ,LINCOLN,"-9,252","-20,272","-33,540","-24,917","-6,620","-8,725",,,,,,
20080,MAINE                    ,OXFORD,"-193,824","-117,748","-90,940","-119,159","-161,472","-9,713",,,,,,
20090,MAINE                    ,PENOBSCOT,"-346,277","-462,455","-399,585","-363,646","-393,858",0,,,,,,
20100,MAINE                    ,PISCATAQUIS,"-40,707","-36,618","-83,281","-62,883","-33,357","-18,677",,,,,,
20110,MAINE                    ,SAGADAHOC,"-12,660","-46,554","-26,448","-19,627","-20,428","-13,556",,,,,,
20120,MAINE                    ,SOMERSET,"-70,764","-105,332","-152,575","-111,567","-94,559","-35,358",,,,,,
20130,MAINE                    ,WALDO,"-60,081","-118,965","-65,882","-66,712","-73,221","-15,984",,,,,,
20140,MAINE                    ,WASHINGTON,"-54,186","-83,995","-103,429","-62,949","-86,464","-9,826",,,,,,
20150,MAINE                    ,YORK,"-67,854","-97,113","-198,571","-225,735","-141,523","-211,689",,,,,,
21000,MARYLAND                 ,ALLEGANY,"-4,437","-13,426","-24,291","-5,942","-22,444","-13,205",,,,,,
21010,MARYLAND                 ,ANNE ARUNDEL,"-23,284","-42,644","-42,541","-22,837","-14,323","-104,228",,,,,,
21020,MARYLAND                 ,BALTIMORE,"-5,621",-548,"-4,148","17,780",328,"-13,438",,,,,,
21030,MARYLAND                 ,BALTIMORE CITY,124,"-21,258","6,964","-10,341","-2,102","-8,887",,,,,,
21040,MARYLAND                 ,CALVERT,"-48,663","-50,395","-36,823","-65,999","-45,405","-21,125",,,,,,
21050,MARYLAND                 ,CAROLINE,"-12,055","-10,193","-11,428","-26,297","-7,504","-32,735",,,,,,
21060,MARYLAND                 ,CARROLL,562,67,"1,055","-4,239","-1,225","-5,430",,,,,,
21070,MARYLAND                 ,CECIL,"-25,484","-23,528","-21,394","-30,010","-45,781","-43,614",,,,,,
21080,MARYLAND                 ,CHARLES,"-21,452","-9,822","-56,764","-72,489","-109,336","-15,884",,,,,,
21090,MARYLAND                 ,DORCHESTER,-407,-192,"-4,139","-27,240",982,"-281,180",,,,,,
21100,MARYLAND                 ,FREDERICK,"-20,419","-11,198","-36,044","-58,087","-9,305","-132,475",,,,,,
21110,MARYLAND                 ,GARRETT,"-2,312","1,711","-22,920","-12,343","-26,760","-4,374",,,,,,
21120,MARYLAND                 ,HARFORD,-187,"-1,153","-1,851","-18,719","-2,415",-263,,,,,,
21130,MARYLAND                 ,HOWARD,"12,957","-2,527","13,756","-2,505","3,160","-137,454",,,,,,
21140,MARYLAND                 ,KENT,"-11,752","-3,049","2,791","-7,547","-8,781","-4,117",,,,,,
21150,MARYLAND                 ,MONTGOMERY,"-175,547","-40,920","-35,983","-115,234","-114,380","-21,155",,,,,,
21160,MARYLAND                 ,PRINCE GEORGE'S,"-325,648","-392,458","-347,606","-532,819","-395,484","-13,783",,,,,,
21170,MARYLAND                 ,QUEEN ANNE'S,"-5,811",-221,-529,"-2,751","-5,083","-11,660",,,,,,
21180,MARYLAND                 ,ST. MARY'S,"-66,907","-21,564","-84,375","-75,957","-120,506","-13,795",,,,,,
21190,MARYLAND                 ,SOMERSET,"-3,898",-63,284,837,"1,305","-11,048",,,,,,
21200,MARYLAND                 ,TALBOT,416,-86,907,"-40,078","-1,957","6,632",,,,,,
21210,MARYLAND                 ,WASHINGTON,"1,650","-40,776","-5,134","-30,412","-13,505","-25,312",,,,,,
21220,MARYLAND                 ,WICOMICO,"1,353","1,158","-4,675","-2,344","-2,130","-53,041",,,,,,
21230,MARYLAND                 ,WORCESTER,"-8,362","-5,787",93,-540,-376,"-25,936",,,,,,
22000,MASSACHUSETTS            ,BARNSTABLE,"-100,696","-120,429","-149,545","-267,946","-274,339",920,,,,,,
22010,MASSACHUSETTS            ,BERKSHIRE,"-404,573","-610,028","-640,192","-986,402","-759,534","-97,859",,,,,,
22020,MASSACHUSETTS            ,BRISTOL,"-915,901","-1,276,161","-1,399,301","-1,743,357","-1,637,780","-68,596",,,,,,
22030,MASSACHUSETTS            ,DUKES,"-13,308","-35,197","-11,879","-33,726","-9,678","-4,849",,,,,,
22040,MASSACHUSETTS            ,ESSEX,"-913,536","-1,270,521","-1,702,921","-2,198,992","-2,055,666","11,311",,,,,,
22060,MASSACHUSETTS            ,FRANKLIN,"-150,171","-92,520","-151,438","-299,465","-190,576","-12,921",,,,,,
22070,MASSACHUSETTS            ,HAMPDEN,"-2,015,512","-1,967,389","-1,862,119","-3,023,376","-2,428,690","-13,351",,,,,,
22080,MASSACHUSETTS            ,HAMPSHIRE,"-237,474","-260,866","-374,479","-497,135","-296,207","-27,233",,,,,,
22090,MASSACHUSETTS            ,MIDDLESEX,"-1,221,697","-1,641,511","-2,559,719","-2,784,320","-2,359,196","-9,062",,,,,,
22120,MASSACHUSETTS            ,NANTUCKET,254,"-1,274","-12,273",512,"-4,713","-37,756",,,,,,
22130,MASSACHUSETTS            ,NORFOLK,"-655,062","-709,496","-888,760","-1,169,049","-1,009,496","-6,762",,,,,,
22150,MASSACHUSETTS            ,PLYMOUTH,"-657,321","-951,566","-1,226,239","-1,574,087","-1,442,054","-6,852",,,,,,
