DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
09000,DISTRICT OF COLUMBIA     ,DISTRICT OF COLUMBIA,"-532,679","-501,949","-530,362","-639,126","-692,498",
10000,FLORIDA                  ,ALACHUA,0,0,0,0,0,
10010,FLORIDA                  ,BAKER,"-122,336","-90,031","-101,635","-93,288","-83,275",
10020,FLORIDA                  ,BAY,0,0,0,0,0,
10030,FLORIDA                  ,BRADFORD,"-2,666",-849,"-1,219",-875,"-1,700",
10040,FLORIDA                  ,BREVARD,"-803,024","-725,476","-730,155","-798,351","-773,028",
10050,FLORIDA                  ,BROWARD,"-773,995","-597,012","-598,349","-190,380","-194,061",
10060,FLORIDA                  ,CALHOUN,0,0,0,0,0,
10070,FLORIDA                  ,CHARLOTTE,"-5,046","-7,990","-3,975","-3,456","-7,055",
10080,FLORIDA                  ,CITRUS,0,0,0,0,0,
10090,FLORIDA                  ,CLAY,"-343,941","-258,438","-290,664","-312,241","-275,957",
10100,FLORIDA                  ,COLLIER,0,0,0,-606,-406,
10110,FLORIDA                  ,COLUMBIA,0,0,0,0,0,
10120,FLORIDA                  ,MIAMI-DADE,"-1,518,854","-1,105,125","-1,015,728","-318,061","-291,042",
10130,FLORIDA                  ,DESOTO,0,0,0,0,0,
10140,FLORIDA                  ,DIXIE,0,0,0,0,0,
10150,FLORIDA                  ,DUVAL,"-1,624,635","-1,351,555","-1,443,820","-1,534,605","-1,475,634",
10160,FLORIDA                  ,ESCAMBIA,0,0,0,0,0,
10170,FLORIDA                  ,FLAGLER,-234,-212,-62,-242,-172,
10180,FLORIDA                  ,FRANKLIN,0,0,0,0,0,
10190,FLORIDA                  ,GADSDEN,0,0,0,0,0,
10200,FLORIDA                  ,GILCHRIST,0,0,0,0,0,
10210,FLORIDA                  ,GLADES,0,0,0,0,0,
10220,FLORIDA                  ,GULF,0,0,0,0,0,
10230,FLORIDA                  ,HAMILTON,0,0,0,0,0,
10240,FLORIDA                  ,HARDEE,0,0,0,0,0,
10250,FLORIDA                  ,HENDRY,0,0,0,0,0,
10260,FLORIDA                  ,HERNANDO,"-340,993","-293,641","-301,952","-305,492","-289,510",
10270,FLORIDA                  ,HIGHLANDS,0,0,0,0,0,
10280,FLORIDA                  ,HILLSBOROUGH,"-1,387,876","-1,158,107","-1,219,115","-1,271,562","-1,183,568",
10290,FLORIDA                  ,HOLMES,0,0,0,0,0,
10300,FLORIDA                  ,INDIAN RIVER,0,0,0,0,0,
10310,FLORIDA                  ,JACKSON,0,0,0,0,0,
10320,FLORIDA                  ,JEFFERSON,0,0,0,0,0,
10330,FLORIDA                  ,LAFAYETTE,0,0,0,0,0,
10340,FLORIDA                  ,LAKE,"-577,436","-408,296","-382,616","-127,185","-115,617",
10350,FLORIDA                  ,LEE,"-721,013","-669,199","-721,329","-792,127","-791,864",
10360,FLORIDA                  ,LEON,0,0,0,0,0,
10370,FLORIDA                  ,LEVY,"-1,970",-808,0,-420,-828,
10380,FLORIDA                  ,LIBERTY,0,0,0,0,0,
10390,FLORIDA                  ,MADISON,0,0,0,0,0,
10400,FLORIDA                  ,MANATEE,"-391,596","-312,224","-324,030","-350,442","-360,718",
10410,FLORIDA                  ,MARION,"-809,975","-649,424","-672,199","-721,297","-694,689",
10420,FLORIDA                  ,MARTIN,-562,-983,-873,"-1,296","-1,086",
10430,FLORIDA                  ,MONROE,0,0,0,0,0,
10440,FLORIDA                  ,NASSAU,"-155,922","-125,540","-136,076","-129,012","-124,282",
10450,FLORIDA                  ,OKALOOSA,0,0,0,0,0,
10460,FLORIDA                  ,OKEECHOBEE,0,0,0,0,0,
10470,FLORIDA                  ,ORANGE,"-996,610","-712,033","-679,627","-250,110","-249,778",
10480,FLORIDA                  ,OSCEOLA,"-254,110","-191,247","-189,630","-74,774","-70,433",
10490,FLORIDA                  ,PALM BEACH,"-573,661","-440,116","-443,850","-187,355","-163,833",
10500,FLORIDA                  ,PASCO,"-797,412","-637,499","-667,156","-717,108","-667,933",
