"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
04620,ARKANSAS                 ,SALINE                 ,50,30548,610.96,30548,610.96,0,0,0,46,0,0,
04630,ARKANSAS                 ,SCOTT                  ,9,1495,166.11,1495,166.11,0,0,0,9,0,0,
04640,ARKANSAS                 ,SEARCY                 ,9,8271,919,8271,919,0,0,0,9,0,0,
04650,ARKANSAS                 ,SEBASTIAN              ,149,42877,287.77,42877,287.77,0,0,0,140,0,0,
04660,ARKANSAS                 ,SEVIER                 ,10,0,0,0,0,0,0,0,10,0,0,
04670,ARKANSAS                 ,SHARP                  ,15,1042,69.47,1042,69.47,0,0,0,14,0,0,
04680,ARKANSAS                 ,STONE                  ,11,0,0,0,0,0,0,0,11,0,0,
04690,ARKANSAS                 ,UNION                  ,95,7465,78.58,7465,78.58,0,0,0,93,0,0,
04700,ARKANSAS                 ,VAN BUREN              ,14,29419,2101.36,29419,2101.36,0,0,0,14,0,0,
04710,ARKANSAS                 ,WASHINGTON             ,207,8614,41.61,8614,41.61,0,0,0,194,0,0,
04720,ARKANSAS                 ,WHITE                  ,79,3975,50.32,3975,50.32,0,0,0,77,0,0,
04730,ARKANSAS                 ,WOODRUFF               ,14,0,0,0,0,0,0,0,14,0,0,
04740,ARKANSAS                 ,YELL                   ,26,0,0,0,0,0,0,0,25,0,0,
05000,CALIFORNIA               ,ALAMEDA                ,1533,282990,184.6,282989,184.6,0,0,0,1368,0,0,
05010,CALIFORNIA               ,ALPINE                 ,4,0,0,0,0,0,0,0,4,0,0,
05020,CALIFORNIA               ,AMADOR                 ,14,8764,626,8764,626,0,0,0,13,0,0,
05030,CALIFORNIA               ,BUTTE                  ,285,82944,291.03,82944,291.03,0,0,0,273,0,0,
05040,CALIFORNIA               ,CALAVERAS              ,45,370,8.22,371,8.24,0,0,0,42,0,0,
05050,CALIFORNIA               ,COLUSA                 ,31,758,24.45,758,24.45,0,0,0,30,0,0,
05060,CALIFORNIA               ,CONTRA COSTA           ,969,79379,81.92,79380,81.92,0,0,0,874,0,0,
05070,CALIFORNIA               ,DEL NORTE              ,21,0,0,0,0,0,0,0,20,0,0,
05080,CALIFORNIA               ,EL DORADO              ,114,33169,290.96,33169,290.96,0,0,0,105,0,0,
05090,CALIFORNIA               ,FRESNO                 ,1132,128978,113.94,128978,113.94,0,0,0,1071,0,0,
05100,CALIFORNIA               ,GLENN                  ,35,0,0,0,0,0,0,0,34,0,0,
05110,CALIFORNIA               ,HUMBOLDT               ,105,5777,55.02,5777,55.02,0,0,0,101,0,0,
05120,CALIFORNIA               ,IMPERIAL               ,446,77005,172.66,77005,172.66,0,0,0,435,0,0,
05130,CALIFORNIA               ,INYO                   ,10,0,0,0,0,0,0,0,10,0,0,
