DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
05140,CALIFORNIA               ,KERN,"732,474","410,076","883,779","2,172,844","2,077,140",,,,,,,,,,,
05150,CALIFORNIA               ,KINGS,"-128,270","-266,613","-154,210","284,491","192,650",,,,,,,,,,,
05160,CALIFORNIA               ,LAKE,"-110,536","-222,885","-440,388","-588,768","-609,761",,,,,,,,,,,
05170,CALIFORNIA               ,LASSEN,"7,563","-18,406","-36,376","-20,738","-42,633",,,,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-2,171,167","-2,577,758","-754,724","-1,760,640","686,569",,,,,,,,,,,
05300,CALIFORNIA               ,MADERA,"-172,898","-164,267","-246,655","-295,333","-341,399",,,,,,,,,,,
05310,CALIFORNIA               ,MARIN,"-134,143","-176,001","-130,918","-131,995","-152,240",,,,,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,"-32,643","-41,492","-50,831","-18,256","-20,949",,,,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,"-377,544","-316,391","-412,715","-313,142","-257,715",,,,,,,,,,,
05340,CALIFORNIA               ,MERCED,"-500,125","-561,442","-531,450","-630,459","-737,507",,,,,,,,,,,
05350,CALIFORNIA               ,MODOC,"-17,905","-21,583","-28,451","1,052","-50,993",,,,,,,,,,,
05360,CALIFORNIA               ,MONO,"-2,213","10,406","-4,289","-13,056","-4,954",,,,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"587,140","316,590","275,833","220,711","-152,797",,,,,,,,,,,
05380,CALIFORNIA               ,NAPA,"-263,308","-168,115","-258,690","-190,064","-175,602",,,,,,,,,,,
05390,CALIFORNIA               ,NEVADA,"-71,731","-129,402","-85,348","-182,575","-131,250",,,,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"-1,298,733","-845,368","321,681","886,218","1,041,582",,,,,,,,,,,
05410,CALIFORNIA               ,PLACER,"-151,959","-130,389","-263,065","-191,097","-323,103",,,,,,,,,,,
05420,CALIFORNIA               ,PLUMAS,"-2,258","-60,491","-29,423","-54,236","-55,821",,,,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"1,767,689","2,343,449","2,936,646","3,113,579","2,781,571",,,,,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"-1,256,044","-1,560,582","-1,601,766","-1,900,363","-2,658,884",,,,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"-67,135","-59,373","-51,589","-79,156","-90,484",,,,,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"737,476","1,186,271","1,937,345","2,656,910","2,626,227",,,,,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"-3,410,643","-3,578,425","-2,741,480","-3,122,327","-3,744,761",,,,,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-793,734","-830,597","-1,100,735","-803,087","-1,213,853",,,,,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-111,869","-362,340","-524,290","-117,939","-183,895",,,,,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"-171,390","-10,987","-150,876","-85,337","-125,856",,,,,,,,,,,
